"ID"	"Description"	"Gene"	"GeneID"
"dr:D00043"	"Isoflurophate;"	"ACHE/BCHE"	"43/590"
"dr:D00045"	"Adenosine (JAN/USP);"	"ADORA1/ADORA2A/ADORA2B/ADORA3"	"134/135/136/140"
"dr:D00058"	"gamma-Aminobutyric acid (JAN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ/GABBR1/GABBR2"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879/2550/9568"
"dr:D00059"	"Levodopa (JP18/USP/INN);"	"DRD1/DRD2/DRD3/DRD4/DRD5"	"1812/1813/1814/1815/1816"
"dr:D00064"	"l-Menthol (JP18);"	"TRPM8/TRPA1"	"79054/8989"
"dr:D00066"	"Progesterone (JP18/USP/INN);"	"PGR"	"5241"
"dr:D00067"	"Estrone (JAN/USP/INN);"	"ESR1/ESR2"	"2099/2100"
"dr:D00073"	"Hydroquinone (USP);"	"TYR"	"7299"
"dr:D00075"	"Testosterone (JAN/USP);"	"AR"	"367"
"dr:D00076"	"Noradrenaline (JP18);"	"ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3"	"148/147/146/150/151/152/153/154/155"
"dr:D00079"	"Dinoprostone (JAN/USP/INN);"	"PTGER2"	"5732"
"dr:D00081"	"Dinoprost (JP18/USAN/INN);"	"PTGFR"	"5737"
"dr:D00085"	"Insulin (JAN/USP)"	"INSR"	"3643"
"dr:D00087"	"Ubenimex (JP18/INN);"	"ANPEP"	"290"
"dr:D00088"	"Hydrocortisone (JP18/USP/INN);"	"NR3C1"	"2908"
"dr:D00089"	"Oxytocin (JP18/USP/INN);"	"OXTR"	"5021"
"dr:D00094"	"Tretinoin (JAN/USP/INN);"	"PML/RARA/RARB/RARG"	"5371/5914/5915/5916"
"dr:D00095"	"Epinephrine (USP/INN);"	"ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3"	"148/147/146/150/151/152/153/154/155"
