kegg_id,name,chebi,pubchem_sid,pubchem_cid,mesh_headings,mesh_terms,mesh_id,conv_method,mesh_label,score
dr:D00043,Isoflurophate,chebi:17941,pubchem:7847111,5936,['Isoflurophate'],"['Fluostigmine', 'DFP', 'Di-isopropylphosphorofluoridate', 'Diisopropylfluorophosphate', 'Dyflos', 'Floropryl', 'Bis(1-methylethyl) Phosphorofluoridate', 'Di isopropylphosphorofluoridate', 'Isoflurophate', 'Diisopropylphosphofluoridate', 'Fluorostigmine']",D007531,exact_heading,Isoflurophate,0.0
dr:D00045,Adenosine,chebi:16335,pubchem:7847113,60961,['Adenosine'],"['Adenoscan', 'Adenocard', 'Adenosine']",D000241,exact_heading,Adenosine,0.0
dr:D00058,gamma-Aminobutyric acid,chebi:16865,pubchem:7847126,119,['gamma-Aminobutyric Acid'],"['4-Aminobutanoic Acid', 'Aminalone', 'Hydrochloride gamma-Aminobutyric Acid', 'gamma-Aminobutyric Acid, Zinc Salt (2:1)', 'Lithium GABA', 'gamma Aminobutyric Acid, Monolithium Salt', 'gamma-Aminobutyric Acid', 'gamma-Aminobutyric Acid, Hydrochloride', 'Acid, Hydrochloride gamma-Aminobutyric', 'GABA', 'GABA, Lithium', 'gamma Aminobutyric Acid', 'gamma Aminobutyric Acid, Hydrochloride', 'gamma Aminobutyric Acid, Monosodium Salt', '4 Aminobutanoic Acid', '4 Aminobutyric Acid', '4-Aminobutyric Acid', 'Aminalon', 'Gammalon', 'gamma-Aminobutyric Acid, Calcium Salt (2:1)', 'gamma-Aminobutyric Acid, Monolithium Salt', 'gamma-Aminobutyric Acid, Monosodium Salt']",D005680,exact_heading,gamma-Aminobutyric Acid,0.0
dr:D00059,Levodopa,chebi:15765,pubchem:7847127,6047,['Levodopa'],"['3 Hydroxy L tyrosine', 'Larodopa', 'Dopar', '3-Hydroxy-L-tyrosine', 'L-3,4-Dihydroxyphenylalanine', 'L-Dopa', 'Levopa', 'Dopaflex', 'L 3,4 Dihydroxyphenylalanine', 'L Dopa', 'Levodopa']",D007980,exact_heading,Levodopa,0.0
dr:D00064,l-Menthol,chebi:15409,pubchem:7847132,16666,[],[],D008610,fuzzy_name,Menthol,0.875
dr:D00066,Progesterone,chebi:17026,pubchem:7847134,5994,['Progesterone'],"['Progesterone, (13 alpha,17 alpha)-(+-)-Isomer', 'Progesterone, (9 beta,10 alpha)-Isomer', 'Pregnenedione', 'Progesterone', 'Progesterone, (17 alpha)-Isomer']",D011374,exact_heading,Progesterone,0.0
dr:D00067,Estrone,chebi:17263,pubchem:7847135,5870,['Estrone'],"['Unigen', 'Estrone', 'Estrone, (+-)-Isomer', 'Estrone, (9 beta)-Isomer', 'Estrovarin', 'Estrone, (8 alpha)-Isomer', 'Folliculin (Hormone)', 'Kestrone', 'Wehgen']",D004970,exact_heading,Estrone,0.0
dr:D00073,Hydroquinone,chebi:17594,pubchem:7847141,785,['hydroquinone'],"['Artra', 'Eldopaque', 'Esoterica', 'Hidroquin', 'Licostrata', 'Melquin', 'Solaquin', 'p-benzenediol', '1,4-dihydroxybenzene', 'Hidroquilaude', 'Melanex', 'Melpaque', 'hydroquinone', 'hydroquinone, copper (1+) salt', 'hydroquinone, monocopper (2+) salt', '1,4-benzenediol', 'Lustra', 'Neostrata HQ', 'Phiaquin', 'Ultraquin', 'beta-quinol', 'hydroquinone, lead (2+) salt (2:1)', 'Eldoquin', 'Hidroquinona Isdin', 'Melanasa']",C031927,exact_heading,hydroquinone,0.0
dr:D00075,Testosterone,chebi:17347,pubchem:7847143,6013,['Testosterone'],"['Androderm', 'Andropatch', 'Testoderm', '17 beta Hydroxy 4 Androsten 3 one', '17 beta Hydroxy 8 alpha 4 Androsten 3 one', 'Androtop', 'Histerone', 'Sustanon', 'Testim', 'Testopel', '17-beta-Hydroxy-4-Androsten-3-one', 'Sterotate', 'Testosterone', 'Testosterone Sulfate', '17-beta-Hydroxy-8 alpha-4-Androsten-3-one', '8 Isotestosterone', '8-Isotestosterone', 'AndroGel', 'Testolin']",D013739,exact_heading,Testosterone,0.0
dr:D00076,Noradrenaline,chebi:18357,pubchem:7847144,439260,['Norepinephrine'],"['Levonorepinephrine', 'Levophed', 'Levophed Bitartrate', 'Noradrenaline', 'Noradrénaline tartrate renaudin', 'Norepinephrine l-Tartrate (1:1), (+,-)-Isomer', 'Norepinephrine l-Tartrate (1:1), Monohydrate', 'Norepinephrine, (+,-)-Isomer', 'Levarterenol', 'Noradrenaline Bitartrate', 'Norepinephrin d-Tartrate (1:1)', 'Norepinephrine l-Tartrate (1:1)', 'Norepinephrine l-Tartrate (1:1), Monohydrate, (+)-Isomer', 'Norepinephrine l-Tartrate, (+)-Isomer', 'Levonor', 'Norepinephrine', 'Norepinephrine Hydrochloride, (+)-Isomer', 'Norepinephrine Hydrochloride, (+,-)-Isomer', 'Norepinephrine l-Tartrate (1:2)', 'Norepinephrine, (+)-Isomer', 'Arterenol', 'Norepinephrine Bitartrate', 'Norepinephrine Hydrochloride', 'Norepinephrine d-Tartrate (1:1)']",D009638,exact_heading,Norepinephrine,0.0
