hsa,kegg_id,drug_name,drug_concept
hsa00010,dr:D00123,Cyanamide,Chemical_MESH_D003484
hsa00010,dr:D00131,Disulfiram,Chemical_MESH_D004221
hsa00010,dr:D07257,lonidamine,Chemical_MESH_C016371
hsa00010,dr:D08970,piragliatin,Chemical_MESH_C553963
hsa00020,dr:D10691,"8-hydroxy-2,2,14,14-tetramethylpentadecanedioic acid",Chemical_MESH_C581236
hsa00040,dr:D01805,aceglatone,Chemical_MESH_C038936
hsa00051,dr:D01688,epalrestat,Chemical_MESH_C038131
hsa00051,dr:D01715,risarestat,Chemical_MESH_C051003
hsa00051,dr:D01842,fidarestat,Chemical_MESH_C077139
hsa00051,dr:D02323,tolrestat,Chemical_MESH_C040550
hsa00051,dr:D02328,zopolrestat,Chemical_MESH_C067172
hsa00051,dr:D03803,lidorestat,Chemical_MESH_C500848
hsa00051,dr:D03805,minalrestat,Chemical_MESH_C473212
hsa00051,dr:D03806,ponalrestat,Chemical_MESH_C042829
hsa00051,dr:D03807,FR 74366,Chemical_MESH_C064920
hsa00051,dr:D05893,sorbinil,Chemical_MESH_C026411
hsa00051,dr:D06403,ranirestat,Chemical_MESH_C115070
hsa00052,dr:D00216,Acarbose,Chemical_MESH_D020909
hsa00052,dr:D00625,miglitol,Chemical_MESH_C045621
hsa00052,dr:D01665,voglibose,Chemical_MESH_C102817
hsa00052,dr:D01688,epalrestat,Chemical_MESH_C038131
hsa00052,dr:D01715,risarestat,Chemical_MESH_C051003
hsa00052,dr:D01842,fidarestat,Chemical_MESH_C077139
hsa00052,dr:D02323,tolrestat,Chemical_MESH_C040550
hsa00052,dr:D02328,zopolrestat,Chemical_MESH_C067172
hsa00052,dr:D03342,camiglibose,Chemical_MESH_C069606
hsa00052,dr:D03803,lidorestat,Chemical_MESH_C500848
hsa00052,dr:D03805,minalrestat,Chemical_MESH_C473212
hsa00052,dr:D03806,ponalrestat,Chemical_MESH_C042829
hsa00052,dr:D03807,FR 74366,Chemical_MESH_C064920
hsa00052,dr:D05893,sorbinil,Chemical_MESH_C026411
hsa00052,dr:D06403,ranirestat,Chemical_MESH_C115070
hsa00052,dr:D09605,1-Deoxynojirimycin,Chemical_MESH_D017485
hsa00052,dr:D09779,emiglitate,Chemical_MESH_C045622
hsa00071,dr:D00123,Cyanamide,Chemical_MESH_D003484
hsa00071,dr:D00131,Disulfiram,Chemical_MESH_D004221
hsa00071,dr:D05292,4-hydroxyphenylglycine,Chemical_MESH_C023010
hsa00100,dr:D01202,N-(2-methylbenzyl)linoleamide,Chemical_MESH_C001757
hsa00100,dr:D03012,avasimibe,Chemical_MESH_C423185
hsa00100,dr:D03447,cetaben,Chemical_MESH_C018246
hsa00100,dr:D03735,lecimibide,Chemical_MESH_C084073
hsa00100,dr:D06609,"1-((1-(3-acetoxy-2,2-dimethylpropyl)-7-chloro-5-(2,3-dimethoxyphenyl)-2-oxo-1,2,3,5-tetrahydro-4,1-benzoxazepin-3-yl)acetyl)piperidine-4-acetic acid",Chemical_MESH_C466644
hsa00130,dr:D00564,Warfarin,Chemical_MESH_D014859
hsa00130,dr:D03798,Dicumarol,Chemical_MESH_D001728
hsa00130,dr:D05177,nitisinone,Chemical_MESH_C077073
hsa00130,dr:D05457,Phenprocoumon,Chemical_MESH_D010644
hsa00130,dr:D07064,Acenocoumarol,Chemical_MESH_D000074
hsa00130,dr:D07131,Ethyl Biscoumacetate,Chemical_MESH_D005017
hsa00130,dr:D07134,flocoumafen,Chemical_MESH_C048069
hsa00130,dr:D07135,clorindione,Chemical_MESH_C004665
hsa00130,dr:D07136,diphenadione,Chemical_MESH_C100262
