hsa,gene_name,gene_concept
hsa00010,HK3,Gene_3101
hsa00010,HK1,Gene_3098
hsa00010,HK2,Gene_3099
hsa00010,HKDC1,Gene_80201
hsa00010,GCK,Gene_2645
hsa00010,GPI,Gene_2821
hsa00010,PFKM,Gene_5213
hsa00010,PFKP,Gene_5214
hsa00010,PFKL,Gene_5211
hsa00010,FBP1,Gene_2203
hsa00010,FBP2,Gene_8789
hsa00010,ALDOC,Gene_230
hsa00010,ALDOA,Gene_226
hsa00010,ALDOB,Gene_229
hsa00010,TPI1,Gene_7167
hsa00010,GAPDH,Gene_2597
hsa00010,GAPDHS,Gene_26330
hsa00010,PGK2,Gene_5232
hsa00010,PGK1,Gene_5230
hsa00010,PGAM1,Gene_5223
hsa00010,PGAM2,Gene_5224
hsa00010,PGAM4,Gene_441531
hsa00010,ENO3,Gene_2027
hsa00010,ENO2,Gene_2026
hsa00010,ENO1,Gene_2023
hsa00010,ENO4,Gene_387712
hsa00010,PKM,Gene_5315
hsa00010,PKLR,Gene_5313
hsa00010,PDHA2,Gene_5161
hsa00010,PDHA1,Gene_5160
hsa00010,PDHB,Gene_5162
hsa00010,DLAT,Gene_1737
hsa00010,DLD,Gene_1738
hsa00010,LDHAL6A,Gene_160287
hsa00010,LDHAL6B,Gene_92483
hsa00010,LDHA,Gene_3939
hsa00010,LDHB,Gene_3945
hsa00010,LDHC,Gene_3948
hsa00010,ADH1A,Gene_124
hsa00010,ADH1B,Gene_125
hsa00010,ADH1C,Gene_126
hsa00010,ADH7,Gene_131
hsa00010,ADH4,Gene_127
hsa00010,ADH5,Gene_128
hsa00010,ADH6,Gene_130
hsa00010,AKR1A1,Gene_10327
hsa00010,ALDH2,Gene_217
hsa00010,ALDH3A2,Gene_224
hsa00010,ALDH1B1,Gene_219
hsa00010,ALDH7A1,Gene_501
hsa00010,ALDH9A1,Gene_223
hsa00010,ALDH3B1,Gene_221
hsa00010,ALDH3B2,Gene_222
hsa00010,ALDH3A1,Gene_218
hsa00010,ACSS1,Gene_84532
hsa00010,ACSS2,Gene_55902
hsa00010,GALM,Gene_130589
hsa00010,PGM1,Gene_5236
hsa00010,PGM2,Gene_55276
hsa00010,G6PC1,Gene_2538
hsa00010,G6PC2,Gene_57818
hsa00010,G6PC3,Gene_92579
hsa00010,ADPGK,Gene_83440
hsa00010,BPGM,Gene_669
hsa00010,MINPP1,Gene_9562
hsa00010,PCK1,Gene_5105
hsa00010,PCK2,Gene_5106
hsa00020,CS,Gene_1431
hsa00020,ACLY,Gene_47
hsa00020,ACO2,Gene_50
hsa00020,ACO1,Gene_48
hsa00020,IDH1,Gene_3417
hsa00020,IDH2,Gene_3418
hsa00020,IDH3B,Gene_3420
hsa00020,IDH3G,Gene_3421
hsa00020,IDH3A,Gene_3419
hsa00020,OGDHL,Gene_55753
hsa00020,OGDH,Gene_4967
hsa00020,DLST,Gene_1743
hsa00020,DLD,Gene_1738
hsa00020,SUCLG1,Gene_8802
hsa00020,SUCLG2,Gene_8801
hsa00020,SUCLA2,Gene_8803
hsa00020,SDHA,Gene_6389
hsa00020,SDHB,Gene_6390
hsa00020,SDHC,Gene_6391
hsa00020,SDHD,Gene_6392
hsa00020,FH,Gene_2271
hsa00020,MDH1,Gene_4190
hsa00020,MDH2,Gene_4191
hsa00020,PC,Gene_5091
hsa00020,PCK1,Gene_5105
hsa00020,PCK2,Gene_5106
hsa00020,PDHA2,Gene_5161
hsa00020,PDHA1,Gene_5160
hsa00020,PDHB,Gene_5162
