hsa,gene_name,gene_concept
hsa00010,HK3,gene_3101
hsa00010,HK1,gene_3098
hsa00010,HK2,gene_3099
hsa00010,HKDC1,gene_80201
hsa00010,GCK,gene_2645
hsa00010,GPI,gene_2821
hsa00010,PFKM,gene_5213
hsa00010,PFKP,gene_5214
hsa00010,PFKL,gene_5211
hsa00010,FBP1,gene_2203
hsa00010,FBP2,gene_8789
hsa00010,ALDOC,gene_230
hsa00010,ALDOA,gene_226
hsa00010,ALDOB,gene_229
hsa00010,TPI1,gene_7167
hsa00010,GAPDH,gene_2597
hsa00010,GAPDHS,gene_26330
hsa00010,PGK2,gene_5232
hsa00010,PGK1,gene_5230
hsa00010,PGAM1,gene_5223
hsa00010,PGAM2,gene_5224
hsa00010,PGAM4,gene_441531
hsa00010,ENO3,gene_2027
hsa00010,ENO2,gene_2026
hsa00010,ENO1,gene_2023
hsa00010,PKM,gene_5315
hsa00010,PKLR,gene_5313
hsa00010,PDHA2,gene_5161
hsa00010,PDHA1,gene_5160
hsa00010,PDHB,gene_5162
hsa00010,DLAT,gene_1737
hsa00010,DLD,gene_1738
hsa00010,LDHA,gene_3939
hsa00010,LDHB,gene_3945
hsa00010,LDHC,gene_3948
hsa00010,ADH1A,gene_124
hsa00010,ADH1B,gene_125
hsa00010,ADH1C,gene_126
hsa00010,ADH7,gene_131
hsa00010,ADH4,gene_127
hsa00010,ADH5,gene_128
hsa00010,ADH6,gene_130
hsa00010,AKR1A1,gene_10327
hsa00010,ALDH2,gene_217
hsa00010,ALDH3A2,gene_224
hsa00010,ALDH1B1,gene_219
hsa00010,ALDH7A1,gene_501
hsa00010,ALDH9A1,gene_223
hsa00010,ALDH3B1,gene_221
hsa00010,ALDH3B2,gene_222
hsa00010,ALDH3A1,gene_218
hsa00010,ACSS1,gene_84532
hsa00010,ACSS2,gene_55902
hsa00010,GALM,gene_130589
hsa00010,PGM1,gene_5236
hsa00010,PGM2,gene_55276
hsa00010,G6PC1,gene_2538
hsa00010,G6PC2,gene_57818
hsa00010,G6PC3,gene_92579
hsa00010,ADPGK,gene_83440
hsa00010,BPGM,gene_669
hsa00010,MINPP1,gene_9562
hsa00010,PCK1,gene_5105
hsa00010,PCK2,gene_5106
hsa00020,CS,gene_1431
hsa00020,ACLY,gene_47
hsa00020,ACO2,gene_50
hsa00020,ACO1,gene_48
hsa00020,IDH1,gene_3417
hsa00020,IDH2,gene_3418
hsa00020,IDH3B,gene_3420
hsa00020,IDH3A,gene_3419
hsa00020,OGDHL,gene_55753
hsa00020,OGDH,gene_4967
hsa00020,DLST,gene_1743
hsa00020,DLD,gene_1738
hsa00020,SUCLG1,gene_8802
hsa00020,SUCLG2,gene_8801
hsa00020,SUCLA2,gene_8803
hsa00020,SDHA,gene_6389
hsa00020,SDHB,gene_6390
hsa00020,SDHC,gene_6391
hsa00020,SDHD,gene_6392
hsa00020,FH,gene_2271
hsa00020,MDH1,gene_4190
hsa00020,MDH2,gene_4191
hsa00020,PC,gene_5091
hsa00020,PCK1,gene_5105
hsa00020,PCK2,gene_5106
hsa00020,PDHA2,gene_5161
hsa00020,PDHA1,gene_5160
hsa00020,PDHB,gene_5162
hsa00020,DLAT,gene_1737
hsa00051,MPI,gene_4351
hsa00051,PMM2,gene_5373
hsa00051,PMM1,gene_5372
hsa00051,GMPPB,gene_29925
hsa00051,GMPPA,gene_29926
hsa00051,GMDS,gene_2762
hsa00051,GFUS,gene_7264
hsa00051,FPGT,gene_8790
hsa00051,ENOSF1,gene_55556
