kegg_id,drug_name,drug_concept,gene_names,gene_concepts
dr:D00043,Isoflurophate,Chemical_MESH_D007531,"['ACHE', 'BCHE']","['Gene_43', 'Gene_590']"
dr:D00045,Adenosine,Chemical_MESH_D000241,"['ADORA1', 'ADORA2A', 'ADORA2B', 'ADORA3']","['Gene_134', 'Gene_135', 'Gene_136', 'Gene_140']"
dr:D00058,gamma-Aminobutyric Acid,Chemical_MESH_D005680,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ', 'GABBR1', 'GABBR2']","['Gene_2554', 'Gene_2555', 'Gene_2556', 'Gene_2557', 'Gene_2558', 'Gene_2559', 'Gene_2560', 'Gene_2561', 'Gene_2562', 'Gene_2563', 'Gene_2564', 'Gene_2565', 'Gene_2566', 'Gene_2567', 'Gene_2568', 'Gene_55879', 'Gene_2550', 'Gene_9568']"
dr:D00059,Levodopa,Chemical_MESH_D007980,"['DRD1', 'DRD2', 'DRD3', 'DRD4', 'DRD5']","['Gene_1812', 'Gene_1813', 'Gene_1814', 'Gene_1815', 'Gene_1816']"
dr:D00066,Progesterone,Chemical_MESH_D011374,['PGR'],['Gene_5241']
dr:D00067,Estrone,Chemical_MESH_D004970,"['ESR1', 'ESR2']","['Gene_2099', 'Gene_2100']"
dr:D00073,hydroquinone,Chemical_MESH_C031927,['TYR'],['Gene_7299']
dr:D00075,Testosterone,Chemical_MESH_D013739,['AR'],['Gene_367']
dr:D00076,Norepinephrine,Chemical_MESH_D009638,"['ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'ADRB1', 'ADRB2', 'ADRB3']","['Gene_148', 'Gene_147', 'Gene_146', 'Gene_150', 'Gene_151', 'Gene_152', 'Gene_153', 'Gene_154', 'Gene_155']"
dr:D00079,Dinoprostone,Chemical_MESH_D015232,['PTGER2'],['Gene_5732']
dr:D00081,Dinoprost,Chemical_MESH_D015237,['PTGFR'],['Gene_5737']
dr:D00088,Hydrocortisone,Chemical_MESH_D006854,['NR3C1'],['Gene_2908']
dr:D00089,Oxytocin,Chemical_MESH_D010121,['OXTR'],['Gene_5021']
dr:D00094,Tretinoin,Chemical_MESH_D014212,"['PML', 'RARA', 'RARB', 'RARG']","['Gene_5371', 'Gene_5914', 'Gene_5915', 'Gene_5916']"
dr:D00095,Epinephrine,Chemical_MESH_D004837,"['ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'ADRB1', 'ADRB2', 'ADRB3']","['Gene_148', 'Gene_147', 'Gene_146', 'Gene_150', 'Gene_151', 'Gene_152', 'Gene_153', 'Gene_154', 'Gene_155']"
dr:D00105,Estradiol,Chemical_MESH_D004958,"['ESR1', 'ESR2']","['Gene_2099', 'Gene_2100']"
dr:D00107,Tacrolimus,Chemical_MESH_D016559,"['PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'CHP1']","['Gene_5530', 'Gene_5532', 'Gene_5533', 'Gene_5534', 'Gene_5535', 'Gene_11261']"
dr:D00109,Aspirin,Chemical_MESH_D001241,"['PTGS1', 'PTGS2']","['Gene_5742', 'Gene_5743']"
dr:D00112,Ouabain,Chemical_MESH_D010042,"['ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4']","['Gene_476', 'Gene_477', 'Gene_478', 'Gene_480']"
dr:D00113,Atropine,Chemical_MESH_D001285,"['CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5']","['Gene_1128', 'Gene_1129', 'Gene_1131', 'Gene_1132', 'Gene_1133']"
dr:D00118,Naproxen,Chemical_MESH_D009288,"['PTGS1', 'PTGS2']","['Gene_5742', 'Gene_5743']"
dr:D00120,Sulindac,Chemical_MESH_D013467,"['PTGS1', 'PTGS2']","['Gene_5742', 'Gene_5743']"
dr:D00122,Calcifediol,Chemical_MESH_D002112,['VDR'],['Gene_7421']
dr:D00123,Cyanamide,Chemical_MESH_D003484,"['ALDH2', 'ALDH1B1', 'ALDH3A2']","['Gene_217', 'Gene_219', 'Gene_224']"
dr:D00124,Ephedrine,Chemical_MESH_D004809,"['ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'ADRB1', 'ADRB2', 'ADRB3']","['Gene_148', 'Gene_147', 'Gene_146', 'Gene_150', 'Gene_151', 'Gene_152', 'Gene_153', 'Gene_154', 'Gene_155']"
dr:D00125,Etoposide,Chemical_MESH_D005047,"['TOP2A', 'TOP2B']","['Gene_7153', 'Gene_7155']"
