gene_name,gene_concept,kegg_ids,drug_names,drug_concepts
ACHE,Gene_43,"['dr:D00043', 'dr:D00196', 'dr:D00469', 'dr:D00487', 'dr:D00667', 'dr:D00994', 'dr:D00995', 'dr:D01001', 'dr:D01228', 'dr:D02068', 'dr:D02173', 'dr:D02193', 'dr:D02292', 'dr:D02418', 'dr:D02565', 'dr:D03239', 'dr:D03823', 'dr:D05215', 'dr:D05981', 'dr:D06288', 'dr:D06365', 'dr:D08094', 'dr:D08838', 'dr:D09835', 'dr:D09917', 'dr:D10529']","['Isoflurophate', 'Physostigmine', 'pralidoxime', 'Pyridostigmine Bromide', 'demecarium', 'Edrophonium', 'Neostigmine', 'Ambenonium Chloride', 'distigmine', 'Tacrine', 'Galantamine', 'Echothiophate Iodide', 'Gallamine Triethiodide', 'physostigmine salicylate', 'dimethacrine', '(N-propargyl-(3R) aminoindan-5-yl)-ethyl methyl carbamate', 'quilostigmine', 'Obidoxime Chloride', 'suronacrine', 'velnacrine', 'zifrosilone', 'itopride', 'Z 338', 'TAK 147', 'latrepirdine', 'Paraoxon']","['Chemical_MESH_D007531', 'Chemical_MESH_D010830', 'Chemical_MESH_C028797', 'Chemical_MESH_D011729', 'Chemical_MESH_C100193', 'Chemical_MESH_D004491', 'Chemical_MESH_D009388', 'Chemical_MESH_D000549', 'Chemical_MESH_C084645', 'Chemical_MESH_D013619', 'Chemical_MESH_D005702', 'Chemical_MESH_D004456', 'Chemical_MESH_D005703', 'Chemical_MESH_C026718', 'Chemical_MESH_C100110', 'Chemical_MESH_C423264', 'Chemical_MESH_C113662', 'Chemical_MESH_D009768', 'Chemical_MESH_C070061', 'Chemical_MESH_C056424', 'Chemical_MESH_C082826', 'Chemical_MESH_C102254', 'Chemical_MESH_C410959', 'Chemical_MESH_C099872', 'Chemical_MESH_C010119', 'Chemical_MESH_D010261']"
BCHE,Gene_590,"['dr:D00043', 'dr:D02193', 'dr:D03239', 'dr:D04435']","['Isoflurophate', 'Echothiophate Iodide', '(N-propargyl-(3R) aminoindan-5-yl)-ethyl methyl carbamate', 'hexafluorenium']","['Chemical_MESH_D007531', 'Chemical_MESH_D004456', 'Chemical_MESH_C423264', 'Chemical_MESH_C005034']"
ADORA1,Gene_134,"['dr:D00045', 'dr:D00227', 'dr:D00371', 'dr:D00528', 'dr:D00691', 'dr:D01771', 'dr:D02017', 'dr:D02769', 'dr:D03051', 'dr:D04006', 'dr:D05818', 'dr:D06019', 'dr:D07603', 'dr:D08646', 'dr:D08989', 'dr:D09684']","['Adenosine', 'Aminophylline', 'Theophylline', 'Caffeine', 'Dyphylline', 'proxyphylline', 'cholinophyllin', 'Adenosine Monophosphate', 'bamifylline', 'enprofylline', 'selodenoson', 'tecadenoson', 'caffeine citrate', 'Adenosine Triphosphate', 'rolofylline', 'BG 9928']","['Chemical_MESH_D000241', 'Chemical_MESH_D000628', 'Chemical_MESH_D013806', 'Chemical_MESH_D002110', 'Chemical_MESH_D004400', 'Chemical_MESH_C003237', 'Chemical_MESH_C012839', 'Chemical_MESH_D000249', 'Chemical_MESH_C006683', 'Chemical_MESH_C034347', 'Chemical_MESH_C522396', 'Chemical_MESH_C118601', 'Chemical_MESH_C026189', 'Chemical_MESH_D000255', 'Chemical_MESH_C073525', 'Chemical_MESH_C505954']"
ADORA2A,Gene_135,"['dr:D00045', 'dr:D00528', 'dr:D01771', 'dr:D02017', 'dr:D02769', 'dr:D03120', 'dr:D03212', 'dr:D03898', 'dr:D04006', 'dr:D04641', 'dr:D05711', 'dr:D07603', 'dr:D08646', 'dr:D09003', 'dr:D09717', 'dr:D09991', 'dr:D10174']","['Adenosine', 'Caffeine', 'proxyphylline', 'cholinophyllin', 'Adenosine Monophosphate', 'binodenoson', 'ATL 146e', 'doxofylline', 'enprofylline', 'istradefylline', 'regadenoson', 'caffeine citrate', 'Adenosine Triphosphate', '2-(2-(4-chlorophenyl)ethoxy)adenosine', '2-(2-furanyl)-7-(2-(4-(4-(2-methoxyethoxy)phenyl)-1-piperazinyl)ethyl)-7H-pyrazolo(4,3-e)(1,2,4)triazolo(1,5-c)pyrimidine-5-amine', '3-(4-amino-3-methylbenzyl)-7-(2-furyl)-3H-(1,2,3)triazolo(4,5-d)pyrimidine-5-amine', 'tozadenant']","['Chemical_MESH_D000241', 'Chemical_MESH_D002110', 'Chemical_MESH_C003237', 'Chemical_MESH_C012839', 'Chemical_MESH_D000249', 'Chemical_MESH_C101949', 'Chemical_MESH_C431129', 'Chemical_MESH_C029797', 'Chemical_MESH_C034347', 'Chemical_MESH_C111599', 'Chemical_MESH_C430916', 'Chemical_MESH_C026189', 'Chemical_MESH_D000255', 'Chemical_MESH_C476036', 'Chemical_MESH_C539997', 'Chemical_MESH_C547274', 'Chemical_MESH_C000593256']"
ADORA2B,Gene_136,"['dr:D00045', 'dr:D00227', 'dr:D00371', 'dr:D00691', 'dr:D01771', 'dr:D02769', 'dr:D04006', 'dr:D08646']","['Adenosine', 'Aminophylline', 'Theophylline', 'Dyphylline', 'proxyphylline', 'Adenosine Monophosphate', 'enprofylline', 'Adenosine Triphosphate']","['Chemical_MESH_D000241', 'Chemical_MESH_D000628', 'Chemical_MESH_D013806', 'Chemical_MESH_D004400', 'Chemical_MESH_C003237', 'Chemical_MESH_D000249', 'Chemical_MESH_C034347', 'Chemical_MESH_D000255']"
ADORA3,Gene_140,"['dr:D00045', 'dr:D02769', 'dr:D08646', 'dr:D10971', 'dr:D11128']","['Adenosine', 'Adenosine Monophosphate', 'Adenosine Triphosphate', ""N(6)-(3-iodobenzyl)-5'-N-methylcarboxamidoadenosine"", ""2-chloro-N(6)-(3-iodobenzyl)adenosine-5'-N-methyluronamide""]","['Chemical_MESH_D000241', 'Chemical_MESH_D000249', 'Chemical_MESH_D000255', 'Chemical_MESH_C084956', 'Chemical_MESH_C090034']"
GABRA1,Gene_2554,"['dr:D00058', 'dr:D00225', 'dr:D00267', 'dr:D00280', 'dr:D00293', 'dr:D00311', 'dr:D00329', 'dr:D00338', 'dr:D00365', 'dr:D00370', 'dr:D00376', 'dr:D00387', 'dr:D00430', 'dr:D00457', 'dr:D00464', 'dr:D00470', 'dr:D00499', 'dr:D00506', 'dr:D00530', 'dr:D00531', 'dr:D00532', 'dr:D00548', 'dr:D00549', 'dr:D00550', 'dr:D00555', 'dr:D00694', 'dr:D00697', 'dr:D00698', 'dr:D00699', 'dr:D00700', 'dr:D00712', 'dr:D00713', 'dr:D00714', 'dr:D01071', 'dr:D01150', 'dr:D01230', 'dr:D01245', 'dr:D01254', 'dr:D01268', 'dr:D01278', 'dr:D01279', 'dr:D01286', 'dr:D01292', 'dr:D01293', 'dr:D01316', 'dr:D01328', 'dr:D01354', 'dr:D01372', 'dr:D01382', 'dr:D01514', 'dr:D01564', 'dr:D01593', 'dr:D01657', 'dr:D01740', 'dr:D01744', 'dr:D01758', 'dr:D02283', 'dr:D02594', 'dr:D02616', 'dr:D02617', 'dr:D02618', 'dr:D02640', 'dr:D02770', 'dr:D02771', 'dr:D02833', 'dr:D03155', 'dr:D04257', 'dr:D04282', 'dr:D04300', 'dr:D04650', 'dr:D05346', 'dr:D05378', 'dr:D05621', 'dr:D05980', 'dr:D06887', 'dr:D07298', 'dr:D07326', 'dr:D07328', 'dr:D07330', 'dr:D07784', 'dr:D08283', 'dr:D08507', 'dr:D11149', 'dr:D11788']","['gamma-Aminobutyric Acid', 'Alprazolam', 'Chlordiazepoxide', 'Clonazepam', 'Diazepam', 'Estazolam', 'Flurazepam', 'halazepam', 'Lorazepam', 'Temazepam', 'Meprobamate', 'Triazolam', 'Secobarbital', 'quazepam', 'Oxazepam', 'Prazepam', 'Pentobarbital', 'Phenobarbital', 'zaleplon', 'Nitrazepam', 'Glutethimide', 'Etomidate', 'Propofol', 'Midazolam', 'Amobarbital', 'Clorazepate Dipotassium', 'Flumazenil', 'allylpropymal', 'secbutabarbital', 'Mephobarbital', 'Methohexital', 'Thiamylal', 'Thiopental', 'Hexobarbital', 'methyprylon', 'Flunitrazepam', 'Bromazepam', 'tofisopam', 'cloxazolam', 'oxazolam', 'flutoprazepam', 'flutazolam', 'Medazepam', 'ethyl loflazepate', 'mexazolam', 'clotiazepam', 'fludiazepam', 'zopiclone', 'metharbital', 'etizolam', 'rilmazafone', 'nimetazepam', 'lormetazepam', 'Barbital', 'brotizolam', 'haloxazolam', 'iomazenil', 'abecarnil', 'pagoclone', 'ocinaplon', 'butobarbital', 'indiplon', 'adinazolam', 'adinazolam mesylate', 'alpidem', 'bretazenil', 'fospropofol', 'gaboxadol', 'ganaxolone', 'ketazolam', 'panadiplon', 'pazinaclone', 'progabide', 'suritozole', 'talbutal', 'barbexaclone', 'triazulenone', 'cinolazepam', 'Chlormethiazole', 'chlordesmethyldiazepam', 'Nordazepam', 'sarmazenil', 'Pregnanolone', 'remimazolam']","['Chemical_MESH_D005680', 'Chemical_MESH_D000525', 'Chemical_MESH_D002707', 'Chemical_MESH_D002998', 'Chemical_MESH_D003975', 'Chemical_MESH_D004949', 'Chemical_MESH_D005479', 'Chemical_MESH_C010175', 'Chemical_MESH_D008140', 'Chemical_MESH_D013693', 'Chemical_MESH_D008620', 'Chemical_MESH_D014229', 'Chemical_MESH_D012631', 'Chemical_MESH_C025130', 'Chemical_MESH_D010076', 'Chemical_MESH_D011222', 'Chemical_MESH_D010424', 'Chemical_MESH_D010634', 'Chemical_MESH_C085665', 'Chemical_MESH_D009567', 'Chemical_MESH_D005984', 'Chemical_MESH_D005045', 'Chemical_MESH_D015742', 'Chemical_MESH_D008874', 'Chemical_MESH_D000654', 'Chemical_MESH_D003009', 'Chemical_MESH_D005442', 'Chemical_MESH_C006470', 'Chemical_MESH_C084833', 'Chemical_MESH_D008618', 'Chemical_MESH_D008723', 'Chemical_MESH_D013840', 'Chemical_MESH_D013874', 'Chemical_MESH_D006591', 'Chemical_MESH_C084583', 'Chemical_MESH_D005445', 'Chemical_MESH_D001960', 'Chemical_MESH_C012582', 'Chemical_MESH_C005522', 'Chemical_MESH_C000425', 'Chemical_MESH_C029163', 'Chemical_MESH_C013367', 'Chemical_MESH_D008472', 'Chemical_MESH_C029617', 'Chemical_MESH_C014262', 'Chemical_MESH_C084599', 'Chemical_MESH_C006107', 'Chemical_MESH_C515050', 'Chemical_MESH_C084822', 'Chemical_MESH_C044610', 'Chemical_MESH_C041075', 'Chemical_MESH_C002714', 'Chemical_MESH_C023842', 'Chemical_MESH_D001462', 'Chemical_MESH_C020960', 'Chemical_MESH_C018779', 'Chemical_MESH_C063038', 'Chemical_MESH_C062769', 'Chemical_MESH_C447412', 'Chemical_MESH_C501948', 'Chemical_MESH_C027712', 'Chemical_MESH_C469870', 'Chemical_MESH_C039668', 'Chemical_MESH_C074080', 'Chemical_MESH_C052036', 'Chemical_MESH_C054626', 'Chemical_MESH_C472965', 'Chemical_MESH_C015542', 'Chemical_MESH_C105051', 'Chemical_MESH_C002072', 'Chemical_MESH_C069443', 'Chemical_MESH_C060382', 'Chemical_MESH_C017985', 'Chemical_MESH_C065324', 'Chemical_MESH_C446080', 'Chemical_MESH_C011019', 'Chemical_MESH_C020168', 'Chemical_MESH_C053781', 'Chemical_MESH_D002719', 'Chemical_MESH_C013434', 'Chemical_MESH_D003708', 'Chemical_MESH_C102747', 'Chemical_MESH_D011280', 'Chemical_MESH_C522201']"
GABRA2,Gene_2555,"['dr:D00058', 'dr:D00225', 'dr:D00267', 'dr:D00280', 'dr:D00293', 'dr:D00311', 'dr:D00329', 'dr:D00338', 'dr:D00365', 'dr:D00370', 'dr:D00376', 'dr:D00387', 'dr:D00430', 'dr:D00457', 'dr:D00464', 'dr:D00470', 'dr:D00499', 'dr:D00506', 'dr:D00531', 'dr:D00532', 'dr:D00549', 'dr:D00550', 'dr:D00555', 'dr:D00694', 'dr:D00697', 'dr:D00698', 'dr:D00699', 'dr:D00700', 'dr:D00713', 'dr:D00714', 'dr:D01071', 'dr:D01230', 'dr:D01245', 'dr:D01254', 'dr:D01268', 'dr:D01278', 'dr:D01279', 'dr:D01286', 'dr:D01292', 'dr:D01293', 'dr:D01316', 'dr:D01328', 'dr:D01354', 'dr:D01372', 'dr:D01382', 'dr:D01514', 'dr:D01564', 'dr:D01593', 'dr:D01657', 'dr:D01740', 'dr:D01744', 'dr:D01758', 'dr:D02283', 'dr:D02594', 'dr:D02616', 'dr:D02617', 'dr:D02618', 'dr:D02640', 'dr:D02770', 'dr:D02771', 'dr:D02833', 'dr:D03155', 'dr:D04257', 'dr:D04282', 'dr:D04300', 'dr:D04650', 'dr:D05346', 'dr:D05378', 'dr:D05980', 'dr:D06887', 'dr:D07298', 'dr:D07326', 'dr:D07328', 'dr:D07784', 'dr:D08283', 'dr:D08507', 'dr:D11149', 'dr:D11788']","['gamma-Aminobutyric Acid', 'Alprazolam', 'Chlordiazepoxide', 'Clonazepam', 'Diazepam', 'Estazolam', 'Flurazepam', 'halazepam', 'Lorazepam', 'Temazepam', 'Meprobamate', 'Triazolam', 'Secobarbital', 'quazepam', 'Oxazepam', 'Prazepam', 'Pentobarbital', 'Phenobarbital', 'Nitrazepam', 'Glutethimide', 'Propofol', 'Midazolam', 'Amobarbital', 'Clorazepate Dipotassium', 'Flumazenil', 'allylpropymal', 'secbutabarbital', 'Mephobarbital', 'Thiamylal', 'Thiopental', 'Hexobarbital', 'Flunitrazepam', 'Bromazepam', 'tofisopam', 'cloxazolam', 'oxazolam', 'flutoprazepam', 'flutazolam', 'Medazepam', 'ethyl loflazepate', 'mexazolam', 'clotiazepam', 'fludiazepam', 'zopiclone', 'metharbital', 'etizolam', 'rilmazafone', 'nimetazepam', 'lormetazepam', 'Barbital', 'brotizolam', 'haloxazolam', 'iomazenil', 'abecarnil', 'pagoclone', 'ocinaplon', 'butobarbital', 'indiplon', 'adinazolam', 'adinazolam mesylate', 'alpidem', 'bretazenil', 'fospropofol', 'gaboxadol', 'ganaxolone', 'ketazolam', 'panadiplon', 'pazinaclone', 'suritozole', 'talbutal', 'barbexaclone', 'triazulenone', 'cinolazepam', 'chlordesmethyldiazepam', 'Nordazepam', 'sarmazenil', 'Pregnanolone', 'remimazolam']","['Chemical_MESH_D005680', 'Chemical_MESH_D000525', 'Chemical_MESH_D002707', 'Chemical_MESH_D002998', 'Chemical_MESH_D003975', 'Chemical_MESH_D004949', 'Chemical_MESH_D005479', 'Chemical_MESH_C010175', 'Chemical_MESH_D008140', 'Chemical_MESH_D013693', 'Chemical_MESH_D008620', 'Chemical_MESH_D014229', 'Chemical_MESH_D012631', 'Chemical_MESH_C025130', 'Chemical_MESH_D010076', 'Chemical_MESH_D011222', 'Chemical_MESH_D010424', 'Chemical_MESH_D010634', 'Chemical_MESH_D009567', 'Chemical_MESH_D005984', 'Chemical_MESH_D015742', 'Chemical_MESH_D008874', 'Chemical_MESH_D000654', 'Chemical_MESH_D003009', 'Chemical_MESH_D005442', 'Chemical_MESH_C006470', 'Chemical_MESH_C084833', 'Chemical_MESH_D008618', 'Chemical_MESH_D013840', 'Chemical_MESH_D013874', 'Chemical_MESH_D006591', 'Chemical_MESH_D005445', 'Chemical_MESH_D001960', 'Chemical_MESH_C012582', 'Chemical_MESH_C005522', 'Chemical_MESH_C000425', 'Chemical_MESH_C029163', 'Chemical_MESH_C013367', 'Chemical_MESH_D008472', 'Chemical_MESH_C029617', 'Chemical_MESH_C014262', 'Chemical_MESH_C084599', 'Chemical_MESH_C006107', 'Chemical_MESH_C515050', 'Chemical_MESH_C084822', 'Chemical_MESH_C044610', 'Chemical_MESH_C041075', 'Chemical_MESH_C002714', 'Chemical_MESH_C023842', 'Chemical_MESH_D001462', 'Chemical_MESH_C020960', 'Chemical_MESH_C018779', 'Chemical_MESH_C063038', 'Chemical_MESH_C062769', 'Chemical_MESH_C447412', 'Chemical_MESH_C501948', 'Chemical_MESH_C027712', 'Chemical_MESH_C469870', 'Chemical_MESH_C039668', 'Chemical_MESH_C074080', 'Chemical_MESH_C052036', 'Chemical_MESH_C054626', 'Chemical_MESH_C472965', 'Chemical_MESH_C015542', 'Chemical_MESH_C105051', 'Chemical_MESH_C002072', 'Chemical_MESH_C069443', 'Chemical_MESH_C060382', 'Chemical_MESH_C065324', 'Chemical_MESH_C446080', 'Chemical_MESH_C011019', 'Chemical_MESH_C020168', 'Chemical_MESH_C053781', 'Chemical_MESH_C013434', 'Chemical_MESH_D003708', 'Chemical_MESH_C102747', 'Chemical_MESH_D011280', 'Chemical_MESH_C522201']"
GABRA3,Gene_2556,"['dr:D00058', 'dr:D00225', 'dr:D00267', 'dr:D00280', 'dr:D00293', 'dr:D00311', 'dr:D00329', 'dr:D00338', 'dr:D00365', 'dr:D00370', 'dr:D00376', 'dr:D00387', 'dr:D00430', 'dr:D00457', 'dr:D00464', 'dr:D00470', 'dr:D00499', 'dr:D00506', 'dr:D00531', 'dr:D00532', 'dr:D00549', 'dr:D00550', 'dr:D00555', 'dr:D00694', 'dr:D00697', 'dr:D00698', 'dr:D00699', 'dr:D00700', 'dr:D00713', 'dr:D00714', 'dr:D01071', 'dr:D01230', 'dr:D01245', 'dr:D01254', 'dr:D01268', 'dr:D01278', 'dr:D01279', 'dr:D01286', 'dr:D01292', 'dr:D01293', 'dr:D01316', 'dr:D01328', 'dr:D01354', 'dr:D01372', 'dr:D01382', 'dr:D01514', 'dr:D01564', 'dr:D01593', 'dr:D01657', 'dr:D01740', 'dr:D01744', 'dr:D01758', 'dr:D02283', 'dr:D02594', 'dr:D02616', 'dr:D02617', 'dr:D02618', 'dr:D02640', 'dr:D02770', 'dr:D02771', 'dr:D02833', 'dr:D03155', 'dr:D04257', 'dr:D04282', 'dr:D04300', 'dr:D04650', 'dr:D05346', 'dr:D05378', 'dr:D05980', 'dr:D06887', 'dr:D07298', 'dr:D07326', 'dr:D07328', 'dr:D07784', 'dr:D08283', 'dr:D08507', 'dr:D11149', 'dr:D11788']","['gamma-Aminobutyric Acid', 'Alprazolam', 'Chlordiazepoxide', 'Clonazepam', 'Diazepam', 'Estazolam', 'Flurazepam', 'halazepam', 'Lorazepam', 'Temazepam', 'Meprobamate', 'Triazolam', 'Secobarbital', 'quazepam', 'Oxazepam', 'Prazepam', 'Pentobarbital', 'Phenobarbital', 'Nitrazepam', 'Glutethimide', 'Propofol', 'Midazolam', 'Amobarbital', 'Clorazepate Dipotassium', 'Flumazenil', 'allylpropymal', 'secbutabarbital', 'Mephobarbital', 'Thiamylal', 'Thiopental', 'Hexobarbital', 'Flunitrazepam', 'Bromazepam', 'tofisopam', 'cloxazolam', 'oxazolam', 'flutoprazepam', 'flutazolam', 'Medazepam', 'ethyl loflazepate', 'mexazolam', 'clotiazepam', 'fludiazepam', 'zopiclone', 'metharbital', 'etizolam', 'rilmazafone', 'nimetazepam', 'lormetazepam', 'Barbital', 'brotizolam', 'haloxazolam', 'iomazenil', 'abecarnil', 'pagoclone', 'ocinaplon', 'butobarbital', 'indiplon', 'adinazolam', 'adinazolam mesylate', 'alpidem', 'bretazenil', 'fospropofol', 'gaboxadol', 'ganaxolone', 'ketazolam', 'panadiplon', 'pazinaclone', 'suritozole', 'talbutal', 'barbexaclone', 'triazulenone', 'cinolazepam', 'chlordesmethyldiazepam', 'Nordazepam', 'sarmazenil', 'Pregnanolone', 'remimazolam']","['Chemical_MESH_D005680', 'Chemical_MESH_D000525', 'Chemical_MESH_D002707', 'Chemical_MESH_D002998', 'Chemical_MESH_D003975', 'Chemical_MESH_D004949', 'Chemical_MESH_D005479', 'Chemical_MESH_C010175', 'Chemical_MESH_D008140', 'Chemical_MESH_D013693', 'Chemical_MESH_D008620', 'Chemical_MESH_D014229', 'Chemical_MESH_D012631', 'Chemical_MESH_C025130', 'Chemical_MESH_D010076', 'Chemical_MESH_D011222', 'Chemical_MESH_D010424', 'Chemical_MESH_D010634', 'Chemical_MESH_D009567', 'Chemical_MESH_D005984', 'Chemical_MESH_D015742', 'Chemical_MESH_D008874', 'Chemical_MESH_D000654', 'Chemical_MESH_D003009', 'Chemical_MESH_D005442', 'Chemical_MESH_C006470', 'Chemical_MESH_C084833', 'Chemical_MESH_D008618', 'Chemical_MESH_D013840', 'Chemical_MESH_D013874', 'Chemical_MESH_D006591', 'Chemical_MESH_D005445', 'Chemical_MESH_D001960', 'Chemical_MESH_C012582', 'Chemical_MESH_C005522', 'Chemical_MESH_C000425', 'Chemical_MESH_C029163', 'Chemical_MESH_C013367', 'Chemical_MESH_D008472', 'Chemical_MESH_C029617', 'Chemical_MESH_C014262', 'Chemical_MESH_C084599', 'Chemical_MESH_C006107', 'Chemical_MESH_C515050', 'Chemical_MESH_C084822', 'Chemical_MESH_C044610', 'Chemical_MESH_C041075', 'Chemical_MESH_C002714', 'Chemical_MESH_C023842', 'Chemical_MESH_D001462', 'Chemical_MESH_C020960', 'Chemical_MESH_C018779', 'Chemical_MESH_C063038', 'Chemical_MESH_C062769', 'Chemical_MESH_C447412', 'Chemical_MESH_C501948', 'Chemical_MESH_C027712', 'Chemical_MESH_C469870', 'Chemical_MESH_C039668', 'Chemical_MESH_C074080', 'Chemical_MESH_C052036', 'Chemical_MESH_C054626', 'Chemical_MESH_C472965', 'Chemical_MESH_C015542', 'Chemical_MESH_C105051', 'Chemical_MESH_C002072', 'Chemical_MESH_C069443', 'Chemical_MESH_C060382', 'Chemical_MESH_C065324', 'Chemical_MESH_C446080', 'Chemical_MESH_C011019', 'Chemical_MESH_C020168', 'Chemical_MESH_C053781', 'Chemical_MESH_C013434', 'Chemical_MESH_D003708', 'Chemical_MESH_C102747', 'Chemical_MESH_D011280', 'Chemical_MESH_C522201']"
GABRA4,Gene_2557,"['dr:D00058', 'dr:D00225', 'dr:D00267', 'dr:D00280', 'dr:D00293', 'dr:D00311', 'dr:D00329', 'dr:D00338', 'dr:D00365', 'dr:D00370', 'dr:D00376', 'dr:D00387', 'dr:D00430', 'dr:D00457', 'dr:D00464', 'dr:D00470', 'dr:D00499', 'dr:D00506', 'dr:D00531', 'dr:D00532', 'dr:D00549', 'dr:D00550', 'dr:D00555', 'dr:D00694', 'dr:D00697', 'dr:D00698', 'dr:D00699', 'dr:D00700', 'dr:D00713', 'dr:D00714', 'dr:D01071', 'dr:D01230', 'dr:D01245', 'dr:D01254', 'dr:D01268', 'dr:D01278', 'dr:D01279', 'dr:D01286', 'dr:D01292', 'dr:D01293', 'dr:D01316', 'dr:D01328', 'dr:D01354', 'dr:D01372', 'dr:D01382', 'dr:D01514', 'dr:D01564', 'dr:D01593', 'dr:D01657', 'dr:D01740', 'dr:D01744', 'dr:D01758', 'dr:D02283', 'dr:D02594', 'dr:D02616', 'dr:D02617', 'dr:D02618', 'dr:D02640', 'dr:D02770', 'dr:D02771', 'dr:D02833', 'dr:D03155', 'dr:D04257', 'dr:D04282', 'dr:D04300', 'dr:D04650', 'dr:D05346', 'dr:D05378', 'dr:D05980', 'dr:D06887', 'dr:D07298', 'dr:D07326', 'dr:D07328', 'dr:D07784', 'dr:D08283', 'dr:D08507', 'dr:D11149', 'dr:D11788']","['gamma-Aminobutyric Acid', 'Alprazolam', 'Chlordiazepoxide', 'Clonazepam', 'Diazepam', 'Estazolam', 'Flurazepam', 'halazepam', 'Lorazepam', 'Temazepam', 'Meprobamate', 'Triazolam', 'Secobarbital', 'quazepam', 'Oxazepam', 'Prazepam', 'Pentobarbital', 'Phenobarbital', 'Nitrazepam', 'Glutethimide', 'Propofol', 'Midazolam', 'Amobarbital', 'Clorazepate Dipotassium', 'Flumazenil', 'allylpropymal', 'secbutabarbital', 'Mephobarbital', 'Thiamylal', 'Thiopental', 'Hexobarbital', 'Flunitrazepam', 'Bromazepam', 'tofisopam', 'cloxazolam', 'oxazolam', 'flutoprazepam', 'flutazolam', 'Medazepam', 'ethyl loflazepate', 'mexazolam', 'clotiazepam', 'fludiazepam', 'zopiclone', 'metharbital', 'etizolam', 'rilmazafone', 'nimetazepam', 'lormetazepam', 'Barbital', 'brotizolam', 'haloxazolam', 'iomazenil', 'abecarnil', 'pagoclone', 'ocinaplon', 'butobarbital', 'indiplon', 'adinazolam', 'adinazolam mesylate', 'alpidem', 'bretazenil', 'fospropofol', 'gaboxadol', 'ganaxolone', 'ketazolam', 'panadiplon', 'pazinaclone', 'suritozole', 'talbutal', 'barbexaclone', 'triazulenone', 'cinolazepam', 'chlordesmethyldiazepam', 'Nordazepam', 'sarmazenil', 'Pregnanolone', 'remimazolam']","['Chemical_MESH_D005680', 'Chemical_MESH_D000525', 'Chemical_MESH_D002707', 'Chemical_MESH_D002998', 'Chemical_MESH_D003975', 'Chemical_MESH_D004949', 'Chemical_MESH_D005479', 'Chemical_MESH_C010175', 'Chemical_MESH_D008140', 'Chemical_MESH_D013693', 'Chemical_MESH_D008620', 'Chemical_MESH_D014229', 'Chemical_MESH_D012631', 'Chemical_MESH_C025130', 'Chemical_MESH_D010076', 'Chemical_MESH_D011222', 'Chemical_MESH_D010424', 'Chemical_MESH_D010634', 'Chemical_MESH_D009567', 'Chemical_MESH_D005984', 'Chemical_MESH_D015742', 'Chemical_MESH_D008874', 'Chemical_MESH_D000654', 'Chemical_MESH_D003009', 'Chemical_MESH_D005442', 'Chemical_MESH_C006470', 'Chemical_MESH_C084833', 'Chemical_MESH_D008618', 'Chemical_MESH_D013840', 'Chemical_MESH_D013874', 'Chemical_MESH_D006591', 'Chemical_MESH_D005445', 'Chemical_MESH_D001960', 'Chemical_MESH_C012582', 'Chemical_MESH_C005522', 'Chemical_MESH_C000425', 'Chemical_MESH_C029163', 'Chemical_MESH_C013367', 'Chemical_MESH_D008472', 'Chemical_MESH_C029617', 'Chemical_MESH_C014262', 'Chemical_MESH_C084599', 'Chemical_MESH_C006107', 'Chemical_MESH_C515050', 'Chemical_MESH_C084822', 'Chemical_MESH_C044610', 'Chemical_MESH_C041075', 'Chemical_MESH_C002714', 'Chemical_MESH_C023842', 'Chemical_MESH_D001462', 'Chemical_MESH_C020960', 'Chemical_MESH_C018779', 'Chemical_MESH_C063038', 'Chemical_MESH_C062769', 'Chemical_MESH_C447412', 'Chemical_MESH_C501948', 'Chemical_MESH_C027712', 'Chemical_MESH_C469870', 'Chemical_MESH_C039668', 'Chemical_MESH_C074080', 'Chemical_MESH_C052036', 'Chemical_MESH_C054626', 'Chemical_MESH_C472965', 'Chemical_MESH_C015542', 'Chemical_MESH_C105051', 'Chemical_MESH_C002072', 'Chemical_MESH_C069443', 'Chemical_MESH_C060382', 'Chemical_MESH_C065324', 'Chemical_MESH_C446080', 'Chemical_MESH_C011019', 'Chemical_MESH_C020168', 'Chemical_MESH_C053781', 'Chemical_MESH_C013434', 'Chemical_MESH_D003708', 'Chemical_MESH_C102747', 'Chemical_MESH_D011280', 'Chemical_MESH_C522201']"
