kegg_id,drug_name,drug_concept,gene_names,gene_concepts
dr:D00043,Isoflurophate,chemical_mesh_d007531,"['ACHE', 'BCHE']","['gene_43', 'gene_590']"
dr:D00045,Adenosine,chemical_mesh_d000241,"['ADORA1', 'ADORA2A', 'ADORA2B', 'ADORA3']","['gene_134', 'gene_135', 'gene_136', 'gene_140']"
dr:D00058,gamma-Aminobutyric Acid,chemical_mesh_d005680,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ', 'GABBR1', 'GABBR2']","['gene_2554', 'gene_2555', 'gene_2556', 'gene_2557', 'gene_2558', 'gene_2559', 'gene_2560', 'gene_2561', 'gene_2562', 'gene_2563', 'gene_2564', 'gene_2565', 'gene_2566', 'gene_2567', 'gene_2568', 'gene_55879', 'gene_2550', 'gene_9568']"
dr:D00059,Levodopa,chemical_mesh_d007980,"['DRD1', 'DRD2', 'DRD3', 'DRD4', 'DRD5']","['gene_1812', 'gene_1813', 'gene_1814', 'gene_1815', 'gene_1816']"
dr:D00066,Progesterone,chemical_mesh_d011374,['PGR'],['gene_5241']
dr:D00067,Estrone,chemical_mesh_d004970,"['ESR1', 'ESR2']","['gene_2099', 'gene_2100']"
dr:D00073,hydroquinone,chemical_mesh_c031927,['TYR'],['gene_7299']
dr:D00075,Testosterone,chemical_mesh_d013739,['AR'],['gene_367']
dr:D00076,Norepinephrine,chemical_mesh_d009638,"['ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'ADRB1', 'ADRB2', 'ADRB3']","['gene_148', 'gene_147', 'gene_146', 'gene_150', 'gene_151', 'gene_152', 'gene_153', 'gene_154', 'gene_155']"
dr:D00079,Dinoprostone,chemical_mesh_d015232,['PTGER2'],['gene_5732']
dr:D00081,Dinoprost,chemical_mesh_d015237,['PTGFR'],['gene_5737']
dr:D00088,Hydrocortisone,chemical_mesh_d006854,['NR3C1'],['gene_2908']
dr:D00089,Oxytocin,chemical_mesh_d010121,['OXTR'],['gene_5021']
dr:D00094,Tretinoin,chemical_mesh_d014212,"['PML', 'RARA', 'RARB', 'RARG']","['gene_5371', 'gene_5914', 'gene_5915', 'gene_5916']"
dr:D00095,Epinephrine,chemical_mesh_d004837,"['ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'ADRB1', 'ADRB2', 'ADRB3']","['gene_148', 'gene_147', 'gene_146', 'gene_150', 'gene_151', 'gene_152', 'gene_153', 'gene_154', 'gene_155']"
dr:D00105,Estradiol,chemical_mesh_d004958,"['ESR1', 'ESR2']","['gene_2099', 'gene_2100']"
dr:D00107,Tacrolimus,chemical_mesh_d016559,"['PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'CHP1']","['gene_5530', 'gene_5532', 'gene_5533', 'gene_5534', 'gene_5535', 'gene_11261']"
dr:D00109,Aspirin,chemical_mesh_d001241,"['PTGS1', 'PTGS2']","['gene_5742', 'gene_5743']"
dr:D00112,Ouabain,chemical_mesh_d010042,"['ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4']","['gene_476', 'gene_477', 'gene_478', 'gene_480']"
dr:D00113,Atropine,chemical_mesh_d001285,"['CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5']","['gene_1128', 'gene_1129', 'gene_1131', 'gene_1132', 'gene_1133']"
dr:D00118,Naproxen,chemical_mesh_d009288,"['PTGS1', 'PTGS2']","['gene_5742', 'gene_5743']"
dr:D00120,Sulindac,chemical_mesh_d013467,"['PTGS1', 'PTGS2']","['gene_5742', 'gene_5743']"
dr:D00122,Calcifediol,chemical_mesh_d002112,['VDR'],['gene_7421']
dr:D00123,Cyanamide,chemical_mesh_d003484,"['ALDH2', 'ALDH1B1', 'ALDH3A2']","['gene_217', 'gene_219', 'gene_224']"
dr:D00124,Ephedrine,chemical_mesh_d004809,"['ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'ADRB1', 'ADRB2', 'ADRB3']","['gene_148', 'gene_147', 'gene_146', 'gene_150', 'gene_151', 'gene_152', 'gene_153', 'gene_154', 'gene_155']"
dr:D00125,Etoposide,chemical_mesh_d005047,"['TOP2A', 'TOP2B']","['gene_7153', 'gene_7155']"
dr:D00126,Ibuprofen,chemical_mesh_d007052,"['PTGS1', 'PTGS2']","['gene_5742', 'gene_5743']"
dr:D00127,Piroxicam,chemical_mesh_d010894,['PTGS2'],['gene_5743']
dr:D00129,Calcitriol,chemical_mesh_d002117,['VDR'],['gene_7421']
