gene_name,gene_concept,kegg_ids,drug_names,drug_concepts
ACHE,gene_43,"['dr:D00043', 'dr:D00196', 'dr:D00469', 'dr:D00487', 'dr:D00667', 'dr:D00994', 'dr:D00995', 'dr:D01001', 'dr:D01228', 'dr:D02068', 'dr:D02173', 'dr:D02193', 'dr:D02292', 'dr:D02418', 'dr:D02565', 'dr:D03239', 'dr:D05215', 'dr:D06288', 'dr:D08094', 'dr:D08838', 'dr:D09835', 'dr:D09917', 'dr:D10529']","['Isoflurophate', 'Physostigmine', 'pralidoxime', 'Pyridostigmine Bromide', 'demecarium', 'Edrophonium', 'Neostigmine', 'Ambenonium Chloride', 'distigmine', 'Tacrine', 'Galantamine', 'Echothiophate Iodide', 'Gallamine Triethiodide', 'physostigmine salicylate', 'dimethacrine', '(N-propargyl-(3R) aminoindan-5-yl)-ethyl methyl carbamate', 'Obidoxime Chloride', 'velnacrine', 'itopride', 'Z 338', 'TAK 147', 'latrepirdine', 'Paraoxon']","['chemical_mesh_d007531', 'chemical_mesh_d010830', 'chemical_mesh_c028797', 'chemical_mesh_d011729', 'chemical_mesh_c100193', 'chemical_mesh_d004491', 'chemical_mesh_d009388', 'chemical_mesh_d000549', 'chemical_mesh_c084645', 'chemical_mesh_d013619', 'chemical_mesh_d005702', 'chemical_mesh_d004456', 'chemical_mesh_d005703', 'chemical_mesh_c026718', 'chemical_mesh_c100110', 'chemical_mesh_c423264', 'chemical_mesh_d009768', 'chemical_mesh_c056424', 'chemical_mesh_c102254', 'chemical_mesh_c410959', 'chemical_mesh_c099872', 'chemical_mesh_c010119', 'chemical_mesh_d010261']"
BCHE,gene_590,"['dr:D00043', 'dr:D02193', 'dr:D03239', 'dr:D04435']","['Isoflurophate', 'Echothiophate Iodide', '(N-propargyl-(3R) aminoindan-5-yl)-ethyl methyl carbamate', 'hexafluorenium']","['chemical_mesh_d007531', 'chemical_mesh_d004456', 'chemical_mesh_c423264', 'chemical_mesh_c005034']"
ADORA1,gene_134,"['dr:D00045', 'dr:D00227', 'dr:D00371', 'dr:D00528', 'dr:D00691', 'dr:D01771', 'dr:D02017', 'dr:D02769', 'dr:D03051', 'dr:D04006', 'dr:D06019', 'dr:D07603', 'dr:D08646', 'dr:D08989', 'dr:D09684']","['Adenosine', 'Aminophylline', 'Theophylline', 'Caffeine', 'Dyphylline', 'proxyphylline', 'cholinophyllin', 'Adenosine Monophosphate', 'bamifylline', 'enprofylline', 'tecadenoson', 'caffeine citrate', 'Adenosine Triphosphate', 'rolofylline', 'BG 9928']","['chemical_mesh_d000241', 'chemical_mesh_d000628', 'chemical_mesh_d013806', 'chemical_mesh_d002110', 'chemical_mesh_d004400', 'chemical_mesh_c003237', 'chemical_mesh_c012839', 'chemical_mesh_d000249', 'chemical_mesh_c006683', 'chemical_mesh_c034347', 'chemical_mesh_c118601', 'chemical_mesh_c026189', 'chemical_mesh_d000255', 'chemical_mesh_c073525', 'chemical_mesh_c505954']"
ADORA2A,gene_135,"['dr:D00045', 'dr:D00528', 'dr:D01771', 'dr:D02017', 'dr:D02769', 'dr:D03120', 'dr:D03212', 'dr:D03898', 'dr:D04006', 'dr:D04641', 'dr:D05711', 'dr:D07603', 'dr:D08646', 'dr:D09717', 'dr:D10174']","['Adenosine', 'Caffeine', 'proxyphylline', 'cholinophyllin', 'Adenosine Monophosphate', 'binodenoson', 'ATL 146e', 'doxofylline', 'enprofylline', 'istradefylline', 'regadenoson', 'caffeine citrate', 'Adenosine Triphosphate', '2-(2-furanyl)-7-(2-(4-(4-(2-methoxyethoxy)phenyl)-1-piperazinyl)ethyl)-7H-pyrazolo(4,3-e)(1,2,4)triazolo(1,5-c)pyrimidine-5-amine', 'tozadenant']","['chemical_mesh_d000241', 'chemical_mesh_d002110', 'chemical_mesh_c003237', 'chemical_mesh_c012839', 'chemical_mesh_d000249', 'chemical_mesh_c101949', 'chemical_mesh_c431129', 'chemical_mesh_c029797', 'chemical_mesh_c034347', 'chemical_mesh_c111599', 'chemical_mesh_c430916', 'chemical_mesh_c026189', 'chemical_mesh_d000255', 'chemical_mesh_c539997', 'chemical_mesh_c000593256']"
ADORA2B,gene_136,"['dr:D00045', 'dr:D00227', 'dr:D00371', 'dr:D00691', 'dr:D01771', 'dr:D02769', 'dr:D04006', 'dr:D08646']","['Adenosine', 'Aminophylline', 'Theophylline', 'Dyphylline', 'proxyphylline', 'Adenosine Monophosphate', 'enprofylline', 'Adenosine Triphosphate']","['chemical_mesh_d000241', 'chemical_mesh_d000628', 'chemical_mesh_d013806', 'chemical_mesh_d004400', 'chemical_mesh_c003237', 'chemical_mesh_d000249', 'chemical_mesh_c034347', 'chemical_mesh_d000255']"
ADORA3,gene_140,"['dr:D00045', 'dr:D02769', 'dr:D08646', 'dr:D10971', 'dr:D11128']","['Adenosine', 'Adenosine Monophosphate', 'Adenosine Triphosphate', ""N(6)-(3-iodobenzyl)-5'-N-methylcarboxamidoadenosine"", ""2-chloro-N(6)-(3-iodobenzyl)adenosine-5'-N-methyluronamide""]","['chemical_mesh_d000241', 'chemical_mesh_d000249', 'chemical_mesh_d000255', 'chemical_mesh_c084956', 'chemical_mesh_c090034']"
GABRA1,gene_2554,"['dr:D00058', 'dr:D00225', 'dr:D00267', 'dr:D00280', 'dr:D00293', 'dr:D00311', 'dr:D00329', 'dr:D00338', 'dr:D00365', 'dr:D00370', 'dr:D00376', 'dr:D00387', 'dr:D00430', 'dr:D00457', 'dr:D00464', 'dr:D00470', 'dr:D00499', 'dr:D00506', 'dr:D00530', 'dr:D00531', 'dr:D00532', 'dr:D00548', 'dr:D00549', 'dr:D00550', 'dr:D00555', 'dr:D00694', 'dr:D00697', 'dr:D00699', 'dr:D00700', 'dr:D00712', 'dr:D00713', 'dr:D00714', 'dr:D01071', 'dr:D01150', 'dr:D01230', 'dr:D01245', 'dr:D01254', 'dr:D01268', 'dr:D01278', 'dr:D01279', 'dr:D01286', 'dr:D01292', 'dr:D01293', 'dr:D01316', 'dr:D01328', 'dr:D01354', 'dr:D01372', 'dr:D01382', 'dr:D01514', 'dr:D01564', 'dr:D01593', 'dr:D01657', 'dr:D01740', 'dr:D01744', 'dr:D01758', 'dr:D02283', 'dr:D02594', 'dr:D02616', 'dr:D02618', 'dr:D02640', 'dr:D02770', 'dr:D02771', 'dr:D02833', 'dr:D03155', 'dr:D04257', 'dr:D04282', 'dr:D04300', 'dr:D04650', 'dr:D05346', 'dr:D05378', 'dr:D05621', 'dr:D07298', 'dr:D07326', 'dr:D07330', 'dr:D07784', 'dr:D08283', 'dr:D08507', 'dr:D11149', 'dr:D11788']","['gamma-Aminobutyric Acid', 'Alprazolam', 'Chlordiazepoxide', 'Clonazepam', 'Diazepam', 'Estazolam', 'Flurazepam', 'halazepam', 'Lorazepam', 'Temazepam', 'Meprobamate', 'Triazolam', 'Secobarbital', 'quazepam', 'Oxazepam', 'Prazepam', 'Pentobarbital', 'Phenobarbital', 'zaleplon', 'Nitrazepam', 'Glutethimide', 'Etomidate', 'Propofol', 'Midazolam', 'Amobarbital', 'Clorazepate Dipotassium', 'Flumazenil', 'secbutabarbital', 'Mephobarbital', 'Methohexital', 'Thiamylal', 'Thiopental', 'Hexobarbital', 'methyprylon', 'Flunitrazepam', 'Bromazepam', 'tofisopam', 'cloxazolam', 'oxazolam', 'flutoprazepam', 'flutazolam', 'Medazepam', 'ethyl loflazepate', 'mexazolam', 'clotiazepam', 'fludiazepam', 'zopiclone', 'metharbital', 'etizolam', 'rilmazafone', 'nimetazepam', 'lormetazepam', 'Barbital', 'brotizolam', 'haloxazolam', 'iomazenil', 'abecarnil', 'pagoclone', 'butobarbital', 'indiplon', 'adinazolam', 'adinazolam mesylate', 'alpidem', 'bretazenil', 'fospropofol', 'gaboxadol', 'ganaxolone', 'ketazolam', 'panadiplon', 'pazinaclone', 'progabide', 'barbexaclone', 'triazulenone', 'Chlormethiazole', 'chlordesmethyldiazepam', 'Nordazepam', 'sarmazenil', 'Pregnanolone', 'remimazolam']","['chemical_mesh_d005680', 'chemical_mesh_d000525', 'chemical_mesh_d002707', 'chemical_mesh_d002998', 'chemical_mesh_d003975', 'chemical_mesh_d004949', 'chemical_mesh_d005479', 'chemical_mesh_c010175', 'chemical_mesh_d008140', 'chemical_mesh_d013693', 'chemical_mesh_d008620', 'chemical_mesh_d014229', 'chemical_mesh_d012631', 'chemical_mesh_c025130', 'chemical_mesh_d010076', 'chemical_mesh_d011222', 'chemical_mesh_d010424', 'chemical_mesh_d010634', 'chemical_mesh_c085665', 'chemical_mesh_d009567', 'chemical_mesh_d005984', 'chemical_mesh_d005045', 'chemical_mesh_d015742', 'chemical_mesh_d008874', 'chemical_mesh_d000654', 'chemical_mesh_d003009', 'chemical_mesh_d005442', 'chemical_mesh_c084833', 'chemical_mesh_d008618', 'chemical_mesh_d008723', 'chemical_mesh_d013840', 'chemical_mesh_d013874', 'chemical_mesh_d006591', 'chemical_mesh_c084583', 'chemical_mesh_d005445', 'chemical_mesh_d001960', 'chemical_mesh_c012582', 'chemical_mesh_c005522', 'chemical_mesh_c000425', 'chemical_mesh_c029163', 'chemical_mesh_c013367', 'chemical_mesh_d008472', 'chemical_mesh_c029617', 'chemical_mesh_c014262', 'chemical_mesh_c084599', 'chemical_mesh_c006107', 'chemical_mesh_c515050', 'chemical_mesh_c084822', 'chemical_mesh_c044610', 'chemical_mesh_c041075', 'chemical_mesh_c002714', 'chemical_mesh_c023842', 'chemical_mesh_d001462', 'chemical_mesh_c020960', 'chemical_mesh_c018779', 'chemical_mesh_c063038', 'chemical_mesh_c062769', 'chemical_mesh_c447412', 'chemical_mesh_c027712', 'chemical_mesh_c469870', 'chemical_mesh_c039668', 'chemical_mesh_c074080', 'chemical_mesh_c052036', 'chemical_mesh_c054626', 'chemical_mesh_c472965', 'chemical_mesh_c015542', 'chemical_mesh_c105051', 'chemical_mesh_c002072', 'chemical_mesh_c069443', 'chemical_mesh_c060382', 'chemical_mesh_c017985', 'chemical_mesh_c011019', 'chemical_mesh_c020168', 'chemical_mesh_d002719', 'chemical_mesh_c013434', 'chemical_mesh_d003708', 'chemical_mesh_c102747', 'chemical_mesh_d011280', 'chemical_mesh_c522201']"
GABRA2,gene_2555,"['dr:D00058', 'dr:D00225', 'dr:D00267', 'dr:D00280', 'dr:D00293', 'dr:D00311', 'dr:D00329', 'dr:D00338', 'dr:D00365', 'dr:D00370', 'dr:D00376', 'dr:D00387', 'dr:D00430', 'dr:D00457', 'dr:D00464', 'dr:D00470', 'dr:D00499', 'dr:D00506', 'dr:D00531', 'dr:D00532', 'dr:D00549', 'dr:D00550', 'dr:D00555', 'dr:D00694', 'dr:D00697', 'dr:D00699', 'dr:D00700', 'dr:D00713', 'dr:D00714', 'dr:D01071', 'dr:D01230', 'dr:D01245', 'dr:D01254', 'dr:D01268', 'dr:D01278', 'dr:D01279', 'dr:D01286', 'dr:D01292', 'dr:D01293', 'dr:D01316', 'dr:D01328', 'dr:D01354', 'dr:D01372', 'dr:D01382', 'dr:D01514', 'dr:D01564', 'dr:D01593', 'dr:D01657', 'dr:D01740', 'dr:D01744', 'dr:D01758', 'dr:D02283', 'dr:D02594', 'dr:D02616', 'dr:D02618', 'dr:D02640', 'dr:D02770', 'dr:D02771', 'dr:D02833', 'dr:D03155', 'dr:D04257', 'dr:D04282', 'dr:D04300', 'dr:D04650', 'dr:D05346', 'dr:D05378', 'dr:D07298', 'dr:D07326', 'dr:D07784', 'dr:D08283', 'dr:D08507', 'dr:D11149', 'dr:D11788']","['gamma-Aminobutyric Acid', 'Alprazolam', 'Chlordiazepoxide', 'Clonazepam', 'Diazepam', 'Estazolam', 'Flurazepam', 'halazepam', 'Lorazepam', 'Temazepam', 'Meprobamate', 'Triazolam', 'Secobarbital', 'quazepam', 'Oxazepam', 'Prazepam', 'Pentobarbital', 'Phenobarbital', 'Nitrazepam', 'Glutethimide', 'Propofol', 'Midazolam', 'Amobarbital', 'Clorazepate Dipotassium', 'Flumazenil', 'secbutabarbital', 'Mephobarbital', 'Thiamylal', 'Thiopental', 'Hexobarbital', 'Flunitrazepam', 'Bromazepam', 'tofisopam', 'cloxazolam', 'oxazolam', 'flutoprazepam', 'flutazolam', 'Medazepam', 'ethyl loflazepate', 'mexazolam', 'clotiazepam', 'fludiazepam', 'zopiclone', 'metharbital', 'etizolam', 'rilmazafone', 'nimetazepam', 'lormetazepam', 'Barbital', 'brotizolam', 'haloxazolam', 'iomazenil', 'abecarnil', 'pagoclone', 'butobarbital', 'indiplon', 'adinazolam', 'adinazolam mesylate', 'alpidem', 'bretazenil', 'fospropofol', 'gaboxadol', 'ganaxolone', 'ketazolam', 'panadiplon', 'pazinaclone', 'barbexaclone', 'triazulenone', 'chlordesmethyldiazepam', 'Nordazepam', 'sarmazenil', 'Pregnanolone', 'remimazolam']","['chemical_mesh_d005680', 'chemical_mesh_d000525', 'chemical_mesh_d002707', 'chemical_mesh_d002998', 'chemical_mesh_d003975', 'chemical_mesh_d004949', 'chemical_mesh_d005479', 'chemical_mesh_c010175', 'chemical_mesh_d008140', 'chemical_mesh_d013693', 'chemical_mesh_d008620', 'chemical_mesh_d014229', 'chemical_mesh_d012631', 'chemical_mesh_c025130', 'chemical_mesh_d010076', 'chemical_mesh_d011222', 'chemical_mesh_d010424', 'chemical_mesh_d010634', 'chemical_mesh_d009567', 'chemical_mesh_d005984', 'chemical_mesh_d015742', 'chemical_mesh_d008874', 'chemical_mesh_d000654', 'chemical_mesh_d003009', 'chemical_mesh_d005442', 'chemical_mesh_c084833', 'chemical_mesh_d008618', 'chemical_mesh_d013840', 'chemical_mesh_d013874', 'chemical_mesh_d006591', 'chemical_mesh_d005445', 'chemical_mesh_d001960', 'chemical_mesh_c012582', 'chemical_mesh_c005522', 'chemical_mesh_c000425', 'chemical_mesh_c029163', 'chemical_mesh_c013367', 'chemical_mesh_d008472', 'chemical_mesh_c029617', 'chemical_mesh_c014262', 'chemical_mesh_c084599', 'chemical_mesh_c006107', 'chemical_mesh_c515050', 'chemical_mesh_c084822', 'chemical_mesh_c044610', 'chemical_mesh_c041075', 'chemical_mesh_c002714', 'chemical_mesh_c023842', 'chemical_mesh_d001462', 'chemical_mesh_c020960', 'chemical_mesh_c018779', 'chemical_mesh_c063038', 'chemical_mesh_c062769', 'chemical_mesh_c447412', 'chemical_mesh_c027712', 'chemical_mesh_c469870', 'chemical_mesh_c039668', 'chemical_mesh_c074080', 'chemical_mesh_c052036', 'chemical_mesh_c054626', 'chemical_mesh_c472965', 'chemical_mesh_c015542', 'chemical_mesh_c105051', 'chemical_mesh_c002072', 'chemical_mesh_c069443', 'chemical_mesh_c060382', 'chemical_mesh_c011019', 'chemical_mesh_c020168', 'chemical_mesh_c013434', 'chemical_mesh_d003708', 'chemical_mesh_c102747', 'chemical_mesh_d011280', 'chemical_mesh_c522201']"
GABRA3,gene_2556,"['dr:D00058', 'dr:D00225', 'dr:D00267', 'dr:D00280', 'dr:D00293', 'dr:D00311', 'dr:D00329', 'dr:D00338', 'dr:D00365', 'dr:D00370', 'dr:D00376', 'dr:D00387', 'dr:D00430', 'dr:D00457', 'dr:D00464', 'dr:D00470', 'dr:D00499', 'dr:D00506', 'dr:D00531', 'dr:D00532', 'dr:D00549', 'dr:D00550', 'dr:D00555', 'dr:D00694', 'dr:D00697', 'dr:D00699', 'dr:D00700', 'dr:D00713', 'dr:D00714', 'dr:D01071', 'dr:D01230', 'dr:D01245', 'dr:D01254', 'dr:D01268', 'dr:D01278', 'dr:D01279', 'dr:D01286', 'dr:D01292', 'dr:D01293', 'dr:D01316', 'dr:D01328', 'dr:D01354', 'dr:D01372', 'dr:D01382', 'dr:D01514', 'dr:D01564', 'dr:D01593', 'dr:D01657', 'dr:D01740', 'dr:D01744', 'dr:D01758', 'dr:D02283', 'dr:D02594', 'dr:D02616', 'dr:D02618', 'dr:D02640', 'dr:D02770', 'dr:D02771', 'dr:D02833', 'dr:D03155', 'dr:D04257', 'dr:D04282', 'dr:D04300', 'dr:D04650', 'dr:D05346', 'dr:D05378', 'dr:D07298', 'dr:D07326', 'dr:D07784', 'dr:D08283', 'dr:D08507', 'dr:D11149', 'dr:D11788']","['gamma-Aminobutyric Acid', 'Alprazolam', 'Chlordiazepoxide', 'Clonazepam', 'Diazepam', 'Estazolam', 'Flurazepam', 'halazepam', 'Lorazepam', 'Temazepam', 'Meprobamate', 'Triazolam', 'Secobarbital', 'quazepam', 'Oxazepam', 'Prazepam', 'Pentobarbital', 'Phenobarbital', 'Nitrazepam', 'Glutethimide', 'Propofol', 'Midazolam', 'Amobarbital', 'Clorazepate Dipotassium', 'Flumazenil', 'secbutabarbital', 'Mephobarbital', 'Thiamylal', 'Thiopental', 'Hexobarbital', 'Flunitrazepam', 'Bromazepam', 'tofisopam', 'cloxazolam', 'oxazolam', 'flutoprazepam', 'flutazolam', 'Medazepam', 'ethyl loflazepate', 'mexazolam', 'clotiazepam', 'fludiazepam', 'zopiclone', 'metharbital', 'etizolam', 'rilmazafone', 'nimetazepam', 'lormetazepam', 'Barbital', 'brotizolam', 'haloxazolam', 'iomazenil', 'abecarnil', 'pagoclone', 'butobarbital', 'indiplon', 'adinazolam', 'adinazolam mesylate', 'alpidem', 'bretazenil', 'fospropofol', 'gaboxadol', 'ganaxolone', 'ketazolam', 'panadiplon', 'pazinaclone', 'barbexaclone', 'triazulenone', 'chlordesmethyldiazepam', 'Nordazepam', 'sarmazenil', 'Pregnanolone', 'remimazolam']","['chemical_mesh_d005680', 'chemical_mesh_d000525', 'chemical_mesh_d002707', 'chemical_mesh_d002998', 'chemical_mesh_d003975', 'chemical_mesh_d004949', 'chemical_mesh_d005479', 'chemical_mesh_c010175', 'chemical_mesh_d008140', 'chemical_mesh_d013693', 'chemical_mesh_d008620', 'chemical_mesh_d014229', 'chemical_mesh_d012631', 'chemical_mesh_c025130', 'chemical_mesh_d010076', 'chemical_mesh_d011222', 'chemical_mesh_d010424', 'chemical_mesh_d010634', 'chemical_mesh_d009567', 'chemical_mesh_d005984', 'chemical_mesh_d015742', 'chemical_mesh_d008874', 'chemical_mesh_d000654', 'chemical_mesh_d003009', 'chemical_mesh_d005442', 'chemical_mesh_c084833', 'chemical_mesh_d008618', 'chemical_mesh_d013840', 'chemical_mesh_d013874', 'chemical_mesh_d006591', 'chemical_mesh_d005445', 'chemical_mesh_d001960', 'chemical_mesh_c012582', 'chemical_mesh_c005522', 'chemical_mesh_c000425', 'chemical_mesh_c029163', 'chemical_mesh_c013367', 'chemical_mesh_d008472', 'chemical_mesh_c029617', 'chemical_mesh_c014262', 'chemical_mesh_c084599', 'chemical_mesh_c006107', 'chemical_mesh_c515050', 'chemical_mesh_c084822', 'chemical_mesh_c044610', 'chemical_mesh_c041075', 'chemical_mesh_c002714', 'chemical_mesh_c023842', 'chemical_mesh_d001462', 'chemical_mesh_c020960', 'chemical_mesh_c018779', 'chemical_mesh_c063038', 'chemical_mesh_c062769', 'chemical_mesh_c447412', 'chemical_mesh_c027712', 'chemical_mesh_c469870', 'chemical_mesh_c039668', 'chemical_mesh_c074080', 'chemical_mesh_c052036', 'chemical_mesh_c054626', 'chemical_mesh_c472965', 'chemical_mesh_c015542', 'chemical_mesh_c105051', 'chemical_mesh_c002072', 'chemical_mesh_c069443', 'chemical_mesh_c060382', 'chemical_mesh_c011019', 'chemical_mesh_c020168', 'chemical_mesh_c013434', 'chemical_mesh_d003708', 'chemical_mesh_c102747', 'chemical_mesh_d011280', 'chemical_mesh_c522201']"
GABRA4,gene_2557,"['dr:D00058', 'dr:D00225', 'dr:D00267', 'dr:D00280', 'dr:D00293', 'dr:D00311', 'dr:D00329', 'dr:D00338', 'dr:D00365', 'dr:D00370', 'dr:D00376', 'dr:D00387', 'dr:D00430', 'dr:D00457', 'dr:D00464', 'dr:D00470', 'dr:D00499', 'dr:D00506', 'dr:D00531', 'dr:D00532', 'dr:D00549', 'dr:D00550', 'dr:D00555', 'dr:D00694', 'dr:D00697', 'dr:D00699', 'dr:D00700', 'dr:D00713', 'dr:D00714', 'dr:D01071', 'dr:D01230', 'dr:D01245', 'dr:D01254', 'dr:D01268', 'dr:D01278', 'dr:D01279', 'dr:D01286', 'dr:D01292', 'dr:D01293', 'dr:D01316', 'dr:D01328', 'dr:D01354', 'dr:D01372', 'dr:D01382', 'dr:D01514', 'dr:D01564', 'dr:D01593', 'dr:D01657', 'dr:D01740', 'dr:D01744', 'dr:D01758', 'dr:D02283', 'dr:D02594', 'dr:D02616', 'dr:D02618', 'dr:D02640', 'dr:D02770', 'dr:D02771', 'dr:D02833', 'dr:D03155', 'dr:D04257', 'dr:D04282', 'dr:D04300', 'dr:D04650', 'dr:D05346', 'dr:D05378', 'dr:D07298', 'dr:D07326', 'dr:D07784', 'dr:D08283', 'dr:D08507', 'dr:D11149', 'dr:D11788']","['gamma-Aminobutyric Acid', 'Alprazolam', 'Chlordiazepoxide', 'Clonazepam', 'Diazepam', 'Estazolam', 'Flurazepam', 'halazepam', 'Lorazepam', 'Temazepam', 'Meprobamate', 'Triazolam', 'Secobarbital', 'quazepam', 'Oxazepam', 'Prazepam', 'Pentobarbital', 'Phenobarbital', 'Nitrazepam', 'Glutethimide', 'Propofol', 'Midazolam', 'Amobarbital', 'Clorazepate Dipotassium', 'Flumazenil', 'secbutabarbital', 'Mephobarbital', 'Thiamylal', 'Thiopental', 'Hexobarbital', 'Flunitrazepam', 'Bromazepam', 'tofisopam', 'cloxazolam', 'oxazolam', 'flutoprazepam', 'flutazolam', 'Medazepam', 'ethyl loflazepate', 'mexazolam', 'clotiazepam', 'fludiazepam', 'zopiclone', 'metharbital', 'etizolam', 'rilmazafone', 'nimetazepam', 'lormetazepam', 'Barbital', 'brotizolam', 'haloxazolam', 'iomazenil', 'abecarnil', 'pagoclone', 'butobarbital', 'indiplon', 'adinazolam', 'adinazolam mesylate', 'alpidem', 'bretazenil', 'fospropofol', 'gaboxadol', 'ganaxolone', 'ketazolam', 'panadiplon', 'pazinaclone', 'barbexaclone', 'triazulenone', 'chlordesmethyldiazepam', 'Nordazepam', 'sarmazenil', 'Pregnanolone', 'remimazolam']","['chemical_mesh_d005680', 'chemical_mesh_d000525', 'chemical_mesh_d002707', 'chemical_mesh_d002998', 'chemical_mesh_d003975', 'chemical_mesh_d004949', 'chemical_mesh_d005479', 'chemical_mesh_c010175', 'chemical_mesh_d008140', 'chemical_mesh_d013693', 'chemical_mesh_d008620', 'chemical_mesh_d014229', 'chemical_mesh_d012631', 'chemical_mesh_c025130', 'chemical_mesh_d010076', 'chemical_mesh_d011222', 'chemical_mesh_d010424', 'chemical_mesh_d010634', 'chemical_mesh_d009567', 'chemical_mesh_d005984', 'chemical_mesh_d015742', 'chemical_mesh_d008874', 'chemical_mesh_d000654', 'chemical_mesh_d003009', 'chemical_mesh_d005442', 'chemical_mesh_c084833', 'chemical_mesh_d008618', 'chemical_mesh_d013840', 'chemical_mesh_d013874', 'chemical_mesh_d006591', 'chemical_mesh_d005445', 'chemical_mesh_d001960', 'chemical_mesh_c012582', 'chemical_mesh_c005522', 'chemical_mesh_c000425', 'chemical_mesh_c029163', 'chemical_mesh_c013367', 'chemical_mesh_d008472', 'chemical_mesh_c029617', 'chemical_mesh_c014262', 'chemical_mesh_c084599', 'chemical_mesh_c006107', 'chemical_mesh_c515050', 'chemical_mesh_c084822', 'chemical_mesh_c044610', 'chemical_mesh_c041075', 'chemical_mesh_c002714', 'chemical_mesh_c023842', 'chemical_mesh_d001462', 'chemical_mesh_c020960', 'chemical_mesh_c018779', 'chemical_mesh_c063038', 'chemical_mesh_c062769', 'chemical_mesh_c447412', 'chemical_mesh_c027712', 'chemical_mesh_c469870', 'chemical_mesh_c039668', 'chemical_mesh_c074080', 'chemical_mesh_c052036', 'chemical_mesh_c054626', 'chemical_mesh_c472965', 'chemical_mesh_c015542', 'chemical_mesh_c105051', 'chemical_mesh_c002072', 'chemical_mesh_c069443', 'chemical_mesh_c060382', 'chemical_mesh_c011019', 'chemical_mesh_c020168', 'chemical_mesh_c013434', 'chemical_mesh_d003708', 'chemical_mesh_c102747', 'chemical_mesh_d011280', 'chemical_mesh_c522201']"
