hsa,gene_name,gene_concept,year
hsa00010,HK1,gene_3098,1945
hsa00010,GCK,gene_2645,1952
hsa00010,GPI,gene_2821,1952
hsa00010,TPI1,gene_7167,1952
hsa00010,GAPDH,gene_2597,1952
hsa00010,DLD,gene_1738,1910
hsa00010,AKR1A1,gene_10327,1938
hsa00010,G6PC1,gene_2538,1948
hsa00020,CS,gene_1431,1953
hsa00020,DLD,gene_1738,1910
hsa00020,FH,gene_2271,1928
hsa00051,HK1,gene_3098,1945
hsa00051,TPI1,gene_7167,1952
hsa00052,HK1,gene_3098,1945
hsa00052,GCK,gene_2645,1952
hsa00052,G6PC1,gene_2538,1948
hsa00052,GLB1,gene_2720,1952
hsa00052,LCT,gene_3938,1804
hsa00052,LALBA,gene_3906,1955
hsa00100,CEL,gene_1056,1948
hsa00140,COMT,gene_1312,1958
hsa00230,APRT,gene_353,1964
hsa00230,NT5E,gene_4907,1938
hsa00230,GDA,gene_9615,1950
hsa00230,ADCY1,gene_107,1962
hsa00230,ADA,gene_100,1942
hsa00230,AK1,gene_203,1951
hsa00240,NT5E,gene_4907,1938
hsa00260,DLD,gene_1738,1910
hsa00260,DAO,gene_1610,1940
hsa00310,DLD,gene_1738,1910
hsa00330,AOC1,gene_26,1932
hsa00330,DAO,gene_1610,1940
hsa00340,HAL,gene_3034,1831
hsa00340,HDC,gene_3067,1948
hsa00340,AOC1,gene_26,1932
hsa00350,TYR,gene_7299,1906
hsa00350,DDC,gene_1644,1947
hsa00350,DBH,gene_1621,1964
hsa00350,COMT,gene_1312,1958
hsa00360,PAH,gene_5053,1920
hsa00360,DDC,gene_1644,1947
hsa00380,TDO2,gene_6999,1941
hsa00380,DLD,gene_1738,1910
hsa00380,DDC,gene_1644,1947
hsa00380,AOC1,gene_26,1932
hsa00380,CAT,gene_847,1876
hsa00480,GSR,gene_2936,1951
hsa00480,G6PD,gene_2539,1952
hsa00500,TREH,gene_11181,1953
hsa00500,HK1,gene_3098,1945
hsa00500,GCK,gene_2645,1952
hsa00500,G6PC1,gene_2538,1948
hsa00500,GPI,gene_2821,1952
hsa00561,AKR1A1,gene_10327,1938
hsa00561,CEL,gene_1056,1948
hsa00561,LPL,gene_4023,1956
hsa00562,PTEN,gene_5728,1800
