hsa,kegg_id,drug_name,drug_concept
hsa00010,dr:D00123,Cyanamide,chemical_mesh_d003484
hsa00010,dr:D00131,Disulfiram,chemical_mesh_d004221
hsa00010,dr:D07257,lonidamine,chemical_mesh_c016371
hsa00051,dr:D05893,sorbinil,chemical_mesh_c026411
hsa00052,dr:D00216,Acarbose,chemical_mesh_d020909
hsa00052,dr:D05893,sorbinil,chemical_mesh_c026411
hsa00052,dr:D09605,1-Deoxynojirimycin,chemical_mesh_d017485
hsa00071,dr:D00123,Cyanamide,chemical_mesh_d003484
hsa00071,dr:D00131,Disulfiram,chemical_mesh_d004221
hsa00071,dr:D05292,4-hydroxyphenylglycine,chemical_mesh_c023010
hsa00130,dr:D00564,Warfarin,chemical_mesh_d014859
hsa00130,dr:D03798,Dicumarol,chemical_mesh_d001728
hsa00130,dr:D05457,Phenprocoumon,chemical_mesh_d010644
hsa00130,dr:D07064,Acenocoumarol,chemical_mesh_d000074
hsa00130,dr:D07131,Ethyl Biscoumacetate,chemical_mesh_d005017
hsa00130,dr:D07136,diphenadione,chemical_mesh_c100262
hsa00130,dr:D08354,Phenindione,chemical_mesh_d010630
hsa00140,dr:D00152,Phloroglucinol,chemical_mesh_d010696
hsa00140,dr:D00153,Testolactone,chemical_mesh_d013738
hsa00140,dr:D00156,Glycyrrhetinic Acid,chemical_mesh_d006034
hsa00140,dr:D00410,Metyrapone,chemical_mesh_d008797
hsa00140,dr:D00420,Mitotane,chemical_mesh_d008939
hsa00140,dr:D00574,Aminoglutethimide,chemical_mesh_d000616
hsa00140,dr:D01180,trilostane,chemical_mesh_c009954
hsa00140,dr:D01899,Carbenoxolone,chemical_mesh_d002229
hsa00140,dr:D02028,Glycyrrhizic Acid,chemical_mesh_d019695
hsa00140,dr:D07121,alfatradiol,chemical_mesh_c519808
hsa00140,dr:D07260,formestane,chemical_mesh_c014594
hsa00140,dr:D10950,Ketoconazole,chemical_mesh_d007654
hsa00230,dr:D00155,Pentostatin,chemical_mesh_d015649
hsa00230,dr:D00161,Mercaptopurine,chemical_mesh_d015122
hsa00230,dr:D00224,Allopurinol,chemical_mesh_d000493
hsa00230,dr:D00231,Amrinone,chemical_mesh_d000676
hsa00230,dr:D00341,Hydroxyurea,chemical_mesh_d006918
hsa00230,dr:D00417,Milrinone,chemical_mesh_d020105
hsa00230,dr:D00752,Mycophenolic Acid,chemical_mesh_d009173
hsa00230,dr:D01370,Cladribine,chemical_mesh_d017338
hsa00230,dr:D01392,mizoribine,chemical_mesh_c010052
hsa00230,dr:D01907,fludarabine phosphate,chemical_mesh_c042382
hsa00230,dr:D02365,Oxypurinol,chemical_mesh_d010117
hsa00230,dr:D04004,Enoximone,chemical_mesh_d017335
hsa00230,dr:D04628,sulmazole,chemical_mesh_c029758
hsa00230,dr:D06130,tiazofurin,chemical_mesh_c033706
hsa00230,dr:D07278,tisopurine,chemical_mesh_c005832
hsa00230,dr:D07966,fludarabine,chemical_mesh_c024352
hsa00230,dr:D08603,Thioguanine,chemical_mesh_d013866
hsa00240,dr:D00341,Hydroxyurea,chemical_mesh_d006918
hsa00240,dr:D00584,Fluorouracil,chemical_mesh_d005472
hsa00240,dr:D01244,Tegafur,chemical_mesh_d005641
hsa00240,dr:D01309,doxifluridine,chemical_mesh_c025034
hsa00240,dr:D01370,Cladribine,chemical_mesh_d017338
hsa00240,dr:D01784,carmofur,chemical_mesh_c017367
hsa00240,dr:D01907,fludarabine phosphate,chemical_mesh_c042382
hsa00240,dr:D04197,Floxuridine,chemical_mesh_d005467
hsa00240,dr:D07966,fludarabine,chemical_mesh_c024352
