hsa,gene_name,gene_concept
hsa00010,HK3,gene_3101
hsa00010,HK1,gene_3098
hsa00010,HK2,gene_3099
hsa00010,GCK,gene_2645
hsa00010,GPI,gene_2821
hsa00010,PFKM,gene_5213
hsa00010,PFKL,gene_5211
hsa00010,ALDOA,gene_226
hsa00010,TPI1,gene_7167
hsa00010,GAPDH,gene_2597
hsa00010,PGK1,gene_5230
hsa00010,ENO3,gene_2027
hsa00010,ENO2,gene_2026
hsa00010,ENO1,gene_2023
hsa00010,PKM,gene_5315
hsa00010,PKLR,gene_5313
hsa00010,PDHA1,gene_5160
hsa00010,DLD,gene_1738
hsa00010,LDHA,gene_3939
hsa00010,LDHB,gene_3945
hsa00010,LDHC,gene_3948
hsa00010,ADH1A,gene_124
hsa00010,ADH1B,gene_125
hsa00010,ADH1C,gene_126
hsa00010,ADH5,gene_128
hsa00010,AKR1A1,gene_10327
hsa00010,ALDH2,gene_217
hsa00010,ALDH7A1,gene_501
hsa00010,ALDH3A1,gene_218
hsa00010,PGM1,gene_5236
hsa00010,PGM2,gene_55276
hsa00010,G6PC1,gene_2538
hsa00010,BPGM,gene_669
hsa00010,PCK1,gene_5105
hsa00010,PCK2,gene_5106
hsa00020,CS,gene_1431
hsa00020,ACLY,gene_47
hsa00020,ACO2,gene_50
hsa00020,ACO1,gene_48
hsa00020,IDH1,gene_3417
hsa00020,OGDH,gene_4967
hsa00020,DLD,gene_1738
hsa00020,SUCLG2,gene_8801
hsa00020,SDHB,gene_6390
hsa00020,FH,gene_2271
hsa00020,MDH1,gene_4190
hsa00020,MDH2,gene_4191
hsa00020,PC,gene_5091
hsa00020,PCK1,gene_5105
hsa00020,PCK2,gene_5106
hsa00020,PDHA1,gene_5160
hsa00051,MPI,gene_4351
hsa00051,HK3,gene_3101
hsa00051,HK1,gene_3098
hsa00051,HK2,gene_3099
hsa00051,PFKM,gene_5213
hsa00051,PFKL,gene_5211
hsa00051,KHK,gene_3795
hsa00051,SORD,gene_6652
hsa00051,AKR1B1,gene_231
hsa00051,ALDOA,gene_226
hsa00051,TPI1,gene_7167
hsa00052,GALK1,gene_2584
hsa00052,GALT,gene_2592
hsa00052,GALE,gene_2582
hsa00052,UGP2,gene_7360
hsa00052,PGM1,gene_5236
hsa00052,PGM2,gene_55276
hsa00052,HK3,gene_3101
hsa00052,HK1,gene_3098
hsa00052,HK2,gene_3099
hsa00052,GCK,gene_2645
hsa00052,G6PC1,gene_2538
hsa00052,GLB1,gene_2720
hsa00052,LCT,gene_3938
hsa00052,LALBA,gene_3906
hsa00052,B4GALT1,gene_2683
hsa00052,GLA,gene_2717
hsa00052,AKR1B1,gene_231
hsa00052,PFKM,gene_5213
hsa00052,PFKL,gene_5211
hsa00052,GAA,gene_2548
hsa00052,SI,gene_6476
hsa00071,ACAT1,gene_38
hsa00071,ACAA1,gene_30
hsa00071,HADH,gene_3033
hsa00071,ACADS,gene_35
hsa00071,ACADM,gene_34
hsa00071,GCDH,gene_2639
hsa00071,ACSBG1,gene_23205
hsa00071,CPT1B,gene_1375
hsa00071,CPT2,gene_1376
hsa00071,ADH1A,gene_124
hsa00071,ADH1B,gene_125
hsa00071,ADH1C,gene_126
hsa00071,ADH5,gene_128
hsa00071,ALDH2,gene_217
hsa00071,ALDH7A1,gene_501
hsa00100,SQLE,gene_6713
hsa00100,LBR,gene_3930
hsa00100,EBP,gene_10682
hsa00100,LIPA,gene_3988
hsa00100,CEL,gene_1056
hsa00100,SOAT1,gene_6646
