hsa,kegg_id,drug_name,drug_concept,year
hsa00010,dr:D00123,Cyanamide,chemical_mesh_d003484,1947
hsa00010,dr:D00131,Disulfiram,chemical_mesh_d004221,1949
hsa00010,dr:D07257,lonidamine,chemical_mesh_c016371,1976
hsa00051,dr:D01688,epalrestat,chemical_mesh_c038131,1976
hsa00051,dr:D01715,risarestat,chemical_mesh_c051003,1986
hsa00051,dr:D01842,fidarestat,chemical_mesh_c077139,1988
hsa00051,dr:D02323,tolrestat,chemical_mesh_c040550,1984
hsa00051,dr:D02328,zopolrestat,chemical_mesh_c067172,1991
hsa00051,dr:D03806,ponalrestat,chemical_mesh_c042829,1975
hsa00051,dr:D03807,FR 74366,chemical_mesh_c064920,1989
hsa00051,dr:D05893,sorbinil,chemical_mesh_c026411,1979
hsa00051,dr:D06403,ranirestat,chemical_mesh_c115070,1998
hsa00052,dr:D00216,Acarbose,chemical_mesh_d020909,1979
hsa00052,dr:D00625,miglitol,chemical_mesh_c045621,1985
hsa00052,dr:D01665,voglibose,chemical_mesh_c102817,1995
hsa00052,dr:D01688,epalrestat,chemical_mesh_c038131,1976
hsa00052,dr:D01715,risarestat,chemical_mesh_c051003,1986
hsa00052,dr:D01842,fidarestat,chemical_mesh_c077139,1988
hsa00052,dr:D02323,tolrestat,chemical_mesh_c040550,1984
hsa00052,dr:D02328,zopolrestat,chemical_mesh_c067172,1991
hsa00052,dr:D03806,ponalrestat,chemical_mesh_c042829,1975
hsa00052,dr:D03807,FR 74366,chemical_mesh_c064920,1989
hsa00052,dr:D05893,sorbinil,chemical_mesh_c026411,1979
hsa00052,dr:D06403,ranirestat,chemical_mesh_c115070,1998
hsa00052,dr:D09605,1-Deoxynojirimycin,chemical_mesh_d017485,1981
hsa00052,dr:D09779,emiglitate,chemical_mesh_c045622,1985
hsa00071,dr:D00123,Cyanamide,chemical_mesh_d003484,1947
hsa00071,dr:D00131,Disulfiram,chemical_mesh_d004221,1949
hsa00071,dr:D05292,4-hydroxyphenylglycine,chemical_mesh_c023010,1974
hsa00100,dr:D03012,avasimibe,chemical_mesh_c423185,1996
hsa00100,dr:D03447,cetaben,chemical_mesh_c018246,1978
hsa00100,dr:D03735,lecimibide,chemical_mesh_c084073,1993
hsa00100,dr:D06609,"1-((1-(3-acetoxy-2,2-dimethylpropyl)-7-chloro-5-(2,3-dimethoxyphenyl)-2-oxo-1,2,3,5-tetrahydro-4,1-benzoxazepin-3-yl)acetyl)piperidine-4-acetic acid",chemical_mesh_c466644,2003
hsa00130,dr:D00564,Warfarin,chemical_mesh_d014859,1950
hsa00130,dr:D03798,Dicumarol,chemical_mesh_d001728,1942
hsa00130,dr:D05177,nitisinone,chemical_mesh_c077073,1992
hsa00130,dr:D05457,Phenprocoumon,chemical_mesh_d010644,1953
hsa00130,dr:D07064,Acenocoumarol,chemical_mesh_d000074,1955
hsa00130,dr:D07131,Ethyl Biscoumacetate,chemical_mesh_d005017,1948
hsa00130,dr:D07134,flocoumafen,chemical_mesh_c048069,1985
hsa00130,dr:D07136,diphenadione,chemical_mesh_c100262,1954
hsa00130,dr:D07969,fluindione,chemical_mesh_c017673,1984
